--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: Ap|A12|B21|B22|IIB3|IICca||||
HORIZONTE->Profundidad de la muestra (cm): 0-11|11-21|21-54|54-79|79-98|98 a +||||
HORIZONTE->Materia Orgánica (%): 2,59|2,24| | | | ||||
HORIZONTE->Carbono Orgánico (%):  | | | | | ||||
HORIZONTE->Nitrógeno total (%): 0,14|0,14| | | | ||||
HORIZONTE->Relación C/N:  | | | | | ||||
HORIZONTE->Arcilla, <2 μ (%): 14,3|15,3|19,4|16,4|16|10,5||||
HORIZONTE->Limo, 2-50 μ (%): 36,5|39,8|31,3|33.,7|34,5|37,1||||
HORIZONTE->Arena total: 46,4|41,9|46,9|47,4|48|50||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|0,0|0,0|0,0|5,9||||
HORIZONTE->pH en pasta:  | | | | | ||||
HORIZONTE->pH en agua 1:2,5: 7,1|6,5|6,9|7,1|7,7|8,1||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 7,7|7,6|12|8,9|8,9||||| 
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 1,7|2,6|0,9|1,9|1,3| ||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,3|0,3|0,2|0,2|0,1|0,15||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,2|0,5|0,4|0,4|0,2|0,3||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 0,5|0,9|0,5|0,3| | ||||
HORIZONTE->Suma de bases, me/100 gr (S):  | | | | | ||||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 11,4|11,9|14|12,7|10,6|9,8||||
HORIZONTE->Saturación con bases,% (S/T): 96|92|96|98|99| ||||
