--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: Ap|A12|B2t|IIB3|IIC
HORIZONTE->Profundidad de la muestra (cm): 0-21|21-35|35-64|64-96|96 a +
HORIZONTE->Materia Orgánica (%): 2,9|3,1| | | 
HORIZONTE->Carbono Orgánico (%):  | | | | 
HORIZONTE->Nitrógeno total (%): 0,14|0,16| | | 
HORIZONTE->Relación C/N:  | | | | 
HORIZONTE->Arcilla, <2 μ (%): 21,4|25,6|32,3|26,9|16,4
HORIZONTE->Limo, 2-50 μ (%): 50,5|45,4|43,8|35,7|30,1
HORIZONTE->Arena (%): 26,0|25,7|21,3|35,6|50,7
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|0,0|0,0|0,0
HORIZONTE->Equivalente de humedad (%):  | | | | 
HORIZONTE->pH en pasta:  | | | | 
HORIZONTE->pH en agua 1:2,5: 6,6|6,5|6,8|7,1|7,2
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 10,9|13,0|17,1|13,0|10,7
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 1,7|1,0|1,0|2,6|1,3
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,3|0,3|0,3|0,3|0,2
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,3|1,0|1,0|0,5|0,4
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 1,0|1,1|1,1|0,5|0,4
HORIZONTE->Suma de bases, me/100 gr (S):  | | | | 
HORIZONTE->Capacidad de intercambio catiónico me/100 gr (T): 15,2|16,4|19,6|16,9|13,0
HORIZONTE->Saturación con bases,% (S/T): 93|93|94|97|97
