--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A|R||||||
HORIZONTE->Profundidad de la muestra (cm): 0-14|14 a +||||||
HORIZONTE->Materia Orgánica (%): 4,8| ||||||
HORIZONTE->Carbono Orgánico (%): 2,8| ||||||
HORIZONTE->Nitrógeno total (%): 0,27| ||||||
HORIZONTE->Relación C/N: 10,4| ||||||
HORIZONTE->Arcilla, <2 μ (%): 12,7|18,6||||||
HORIZONTE->Limo, 2-50 μ (%): 27,7|28,3||||||
HORIZONTE->Arena muy fina, 50-100 μ (%): 19,2|18,1||||||
HORIZONTE->Arena fina, 100-250 μ (%): 22,3|29,3||||||
HORIZONTE->Arena media, 250-500 μ (%): 8,4|6,9||||||
HORIZONTE->Arena gruesa, 500-1000 μ (%): 5,9|4,3||||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 3,8|3,8||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,9|10,2||||||
HORIZONTE->Equivalente de humedad (%): 17,5|17,0||||||
HORIZONTE->pH en pasta:  | ||||||
HORIZONTE->pH en agua 1:2,5: 7,8|8,0||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: ||||||| 
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: ||||||| 
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,2|0,1||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 0,8|0,2||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +:  | ||||||
HORIZONTE->Suma de bases, me/100 gr (S):  | ||||||
HORIZONTE->Cap. de intercambio catiónico me/100 gr (T): 20,0|20,4||||||
HORIZONTE->Saturación con bases,% (S/T): 100|100||||||
