--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A1|B21t|B22t|B3|Cca|||||||||||||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-24|24-42|42-60|60-95|95 a +|||||||||||||||||||||
HORIZONTE->Materia Orgánica (%): 2,1|0,9| | | |||||||||||||||||||||
HORIZONTE->Carbono Orgánico (%): 1,2|0,5| | | |||||||||||||||||||||
HORIZONTE->Nitrógeno total (%): 0,11|0,06| | | |||||||||||||||||||||
HORIZONTE->Relación C/N: 10,9|8,3| | | |||||||||||||||||||||
HORIZONTE->Arcilla, <2 μ (%): 23,4|29,5|30,1|25,2|24,2|||||||||||||||||||||
HORIZONTE->Limo, 2-50 μ (%): 54,9|55,7|51,1|55,7|54,0|||||||||||||||||||||
HORIZONTE->Arena muy fina, 50-100 μ (%): 4,6|4,4|4,2|5,2|4|||||||||||||||||||||
HORIZONTE->Arena fina, 100-250 μ (%): 3,2|2,1|2,0|2,1|2,6|||||||||||||||||||||
HORIZONTE->Arena media, 250-500 μ (%): 3,9|2,6|2,6|2,5|2,3|||||||||||||||||||||
HORIZONTE->Arena gruesa, 500-1000 μ (%): 5,4|4,1|4,5|4,6|4,5|||||||||||||||||||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 2,1|1,4|2,4|2,3|2,6|||||||||||||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|0,0|0,0|6,8|||||||||||||||||||||
HORIZONTE->pH en pasta: 6,7|7,0|7,1|7,2| |||||||||||||||||||||
HORIZONTE->pH en agua 1:2,5: 7,0|7,2|7,3|7,4|8,1|||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 15,2|18,3|18,7|18,2| |||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 1,7|0,8|0,6|0,4| |||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,4|0,4|0,4|0,4| |||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,2|1,0|0,8|0,7| |||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 1,2|0,6|0,7|0,2|||||||||||||||||||||| 
HORIZONTE->Suma de bases, me/100 gr (S): 18,5|20,5|20,5|19,7| |||||||||||||||||||||
HORIZONTE->Cap. de intercambio catiónico, me/100 gr (T): 19,7|21,1|21,2|19,9| |||||||||||||||||||||
HORIZONTE->Saturación con bases,% (S/T): 93,9|97,1|96,6|99,0| |||||||||||||||||||||
