--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 300
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a|bt|bc|c|ck
HORIZONTE->Profundidad de la muestra (cm): 0-22|22-40|40-59|59-78|78 a +
HORIZONTE->Materia Orgánica (%): 3,1|1,0|||
HORIZONTE->Carbono Orgánico (%): 1,8|0,6|||
HORIZONTE->Nitrógeno total (%): 0,20|0,10|||
HORIZONTE->Relación C/N: 9,0|6,0|||
HORIZONTE->Arcilla, <2 μ (%): 24,0|31,1|26,0|21,0|18,0
HORIZONTE->Limo, 2-50 μ (%): 63,4|58,7|62,0|68,0|33,0
HORIZONTE->Arena muy fina, 50-100 μ (%): 5,0|4,9|5,2|6,1|6
HORIZONTE->Arena fina, 100-250 μ (%): 1,2|1,2|1,2|1,3|1,4
HORIZONTE->Arena media, 250-500 μ (%): 1,4|1,0|1,1|1,1|1,0
HORIZONTE->Arena gruesa, 500-1000 μ (%): 2,6|1,8|1,7|1,8|1,9
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0,9|1,2|1,3|1,4|1,5
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|0,0|0,0|5,6
HORIZONTE->Equivalente de humedad (%): 25,8|27,4|24,6|23,2|23,0
HORIZONTE->pH en pasta: ||||
HORIZONTE->pH en agua 1:2,5: 6,4|6,9|7,1|7,1|7,8
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca++: 14,6|18,2|17,8|17,6|
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg++: 1,0|0,5|0,6|0,4|
HORIZONTE->Cationes de intercambio (me/100 gr)-Na+: 0,7|0,4|0,3|0,3|
HORIZONTE->Cationes de intercambio (me/100 gr)-K+: 1,8|1,2|0,8|0,7|
HORIZONTE->Cationes de intercambio (me/100 gr)-H+: 1,4|0,9|0,7|0,6|
HORIZONTE->Suma de bases, me/100 gr (S): 18,1|20,3|19,5|19,0|18,2
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 19,5|21,2|20,2|19,6|19,2
HORIZONTE->Saturación con bases, % (S/T): 92,8|95,8|96,5|96,9|
