--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 300
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap|bt1|bt2|bc|ck
HORIZONTE->Profundidad de la muestra (cm): 0-21|21-48|48-71|71-95|95 a +
HORIZONTE->Materia Orgánica (%): 3,26|2|1|0,63|
HORIZONTE->Carbono Orgánico (%): 1,90|1,16|0,55|0,37|
HORIZONTE->Nitrógeno total (%): 0,158|0,111|0,073||
HORIZONTE->Relación C/N: 12,0|10,4|7,5||
HORIZONTE->Arcilla, <2 μ (%): 26,3|34,3|30,0|24,3|27,2
HORIZONTE->Limo, 2-50 μ (%): 55,4|52,5|54,7|59,0|56,0
HORIZONTE->Arena muy fina, 50-100 μ (%): 6,1|4,3|4,6|5,0|4,4
HORIZONTE->Arena fina, 100-250 μ (%): 4,6|4,7|5,2|4,7|4,9
HORIZONTE->Arena media, 250-500 μ (%): 2,0|1,5|1,6|1,5|1,3
HORIZONTE->Arena gruesa, 500-1000 μ (%): 4,9|3,4|4,1|4,0|3,6
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0,8|0,8|1,7|1,3|3,2
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|1,29|3,93
HORIZONTE->Equivalente de humedad (%): 26,0|27,7|24,1|26,3|27,2
HORIZONTE->pH en pasta: 6,3|6,8|7,0|7,4|7,6
HORIZONTE->pH en agua 1:2,5: 6,4|7,0|7,2|7,7|7,8
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca++: 13,9|20,0|18,1||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg++: 1,2|1,0|2,0||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na+: 0,2|0,1|0,1|0,2|0,4
HORIZONTE->Cationes de intercambio (me/100 gr)-K+: 1,9|1,3|1,1|1,3|1,7
HORIZONTE->Cationes de intercambio (me/100 gr)-H+: 1,2|0,6|0,3||
HORIZONTE->Suma de bases, me/100 gr (S): 17,2|22,3|21,3||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 18,5|23,0|21,7|16,0|21,3
HORIZONTE->Saturación con bases, % (S/T): 93|97|98||
