HORIZONTE->NOMBRE(S)........: A    | Btn   | BCk   | Ck
HORIZONTE->PROFUNDIDADES(CM): 0-20 | 20-50 | 50-80 | 80a+
HORIZONTE->MATERIA ORGÁN.(%): 3,1  | 1,1   |       |
HORIZONTE->CARBONO ORGÁN.(%): 1,8  | 0,6   |       |
HORIZONTE->NITRÓGENO TOT.(%): 0,18 | 0,08  |       |
HORIZONTE->RELACIÓN C/N.....: 10,2 | 7,9   |       |
HORIZONTE->ARCILLA 2 (%)....: 22,8 | 38,8  | 28,4  | 20,3
HORIZONTE->LIMO 2-50 (%)....: 70,5 | 55,4  | 61,3  | 68,3
HORIZONTE->AMF 50-100 (%)...: 5,9  | 5,7   | 6,0   | 7,3
HORIZONTE->AF 100-250 (%)...: 1,1  | 1,1   | 3,5   | 4,7
HORIZONTE->AM 250-500 (%)...: 0,2  | 0,1   | 0,1   | 0,7
HORIZONTE->AG 500-1000 (%)..: 0,1  | 0,1   | 0,1   |
HORIZONTE->AMG 1-2 mm (%)...:      | 0,1   |       |
HORIZONTE->CALCAREO CaCO3(%): 0,0  | 2,2   | 3,8   | 3,5
HORIZONTE->EQUIV. HUMEDAD(%): 25,8 | 30,2  | 24,0  | 20,0
HORIZONTE->PH H2O 1:2,5.....: 7,3  | 8,5   | 8,6   | 8,9
HORIZONTE->CI ME/100G-Ca ++.: 14,6 |       |       |
HORIZONTE->CI ME/100G-Mg ++.: 1,4  |       |       |
HORIZONTE->CI ME/100G-Na +..: 0,9  | 3,8   | 4,1   | 4,6
HORIZONTE->CI ME/100G-K +...: 2,5  | 3,7   | 1,6   | 1,8
HORIZONTE->CI ME/100G-H +...:      |       |       |
HORIZONTE->SUM.B. ME/100G(S): 19,5 |       |       |
HORIZONTE->CIC ME/100G(T)...: 19,5 | 25,0  | 22,0  | 20,0
HORIZONTE->SAT.B % (S/T)....: 100  | 100   | 100   | 100
HORIZONTE->% Na INTERC.(PSI): 4,6  | 15,2  | 18,6  | 23,0
