Horizonte|ap|a2|bw|bc|ck
Profundidad de la muestra (cm)|0-10|10-22|22-49|49-78|78 a +
Materia Orgánica (%)|1,72|1,89|1|0,5|
Carbono Orgánico (%)|1,0|1,1|0,6|0,3|
Nitrógeno total (%)|0,1|0,16|0,11||
Relación C/N|1,0|6,9|5,4||
Arcilla, <2 μ (%)|15,4|16,0|17,0|12,1|11,3
Limo, 2-50 μ (%)|48,6|48,0|44,1|46,6|48,1
Arena muy fina, 50-100 μ (%)|32,4|32,9|36,3|38,2|39,0
Arena fina, 100-250 μ (%)|2,3|1,3|0,9|1,6|0,2
Arena media, 250-500 μ (%)|0,4|0,6|||
Arena gruesa, 500-1000 μ (%)|||||
Arena muy gruesa, 1-2 mm (%)|||||
Calcáreo, CaCO3 (%)|0,0|0,0|0,0|0,0|3,0
Equivalente de humedad (%)|17,8|17,6|17,6|14,2|14,1
pH en pasta|5,5|5,6|6,7|7,3|8,3
pH en agua 1:2,5|5,8|5,9|6,9|7,5|8,6
Mg++|0,7|0,5|1,0|1,0|
Na+|0,3|0,2|0,2|0,3|3,5
K+|2,5|1,8|1,9|1,0|1,2
H+|2,3|2,2|0,8|0,3|
Conductividad, mmhos/cm|36||||
Suma de bases, me/100 gr (S)|9,5|10,2|11,2|10,5|
Capacidad de intercambio catiónico, me/100 gr (T)|11,9|12,5|12,0|10,9|9,7
Saturación con bases, % (S/T)|80|82|92|96|
