Horizonte|a|ac|c
Profundidad de la muestra (cm)|0-26|26-53|53 a +
Materia Orgánica (%)|1.6|0.7|
Carbono Orgánico (%)|0.90|0.40|
Nitrógeno total (%)|0.08||
Relación C/N|11.3||
Arcilla, <2 μ (%)|9.4|9.0|6.4
Limo, 2-50 μ (%)|22.2|20.6|20.3
Arena muy fina, 50-100 μ (%)|65.0|65.0|68.5
Arena fina, 100-250 μ (%)|3.0|4.5|4.0
Arena media, 250-500 μ (%)|0.5|0.5|0.5
Arena gruesa, 500-1000 μ (%)|||0.5
Arena muy gruesa, 1-2 mm (%)|||
Calcáreo, CaCO3 (%)|0.0|0.0|0.0
Equivalente de humedad (%)|12.2|11.1|9.4
pH en pasta|6.0|6.7|7.3
pH en agua 1:2,5|6.4|6.9|7.6
Mg++|0.8|1.5|1.6
Na+|0.2|0.1|0.1
K+|1.7|1.2|0.7
H+|0.9|0.3|
Na+, % del valor T|2.0|1.0|1.1
Suma de bases, me/100 gr (S)|8.8|9.3|9.4
Capacidad de intercambio catiónico, me/100 gr (T)|9.8|9.6|9.4
Saturación con bases, % (S/T)|89.8|96.9|100.0
