er1129c||||||
NÂ° 				de registro|10766|10767|10768|10769|10770|10771
Horizonte|A11|A12|B21t|B22t|B3|C
Profundidad 				(cm|04-15|21-32|36-55|65-80|90-100|120-140
Mat.orgÃ¡nica 				(%)|4.63|3.68|2.05|1.51|1.14|0.15
C 				(%)|2.69|2.14|1.19|0.88|0.66|0.09
N 				(%)|0.236|0.166|0.099|0.086|0.043|0.033
C/N|11.40|12.89|12.02|10.23|15.35|2.73
T 				                        <2 Âµ|25.98|26.57|48.28|49.38|43.78|41.04
E 				                     2-20 Âµ|35.33|34.02|28.82|28.44|39.02|29.98
X 				                    2-50 Âµ|64.90|63.91|46.82|46.02|51.73|48.54
T 				                 50-100 Âµ|1.23|1.21|0.78|0.61|0.74|2.13
U 				               100-250 Âµ|7.73|8.08|3.96|3.87|3.66|8.03
R 				               250-500 Âµ|-|-|-|-|-|-
A 				             500-1000 Âµ|0.16|0.23|0.16|0.12|0.09|0.26
CO3Ca 				(%)|0.0|0.0|0.0|0.0|0.0|0.0
PH 				H2O|5.6|6.0|6.5|7.1|7.8|8.1
PH 				ClK|4.9|5.0|5.4|5.7|6.6|6.8
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) =  Valor 				T|20.55|19.70|31.55|34.03|29.19|23.56
% 				Na/T|0.02|0.02|0.03|0.02|0.02|0.02
Equiv. 				de humedad (%)|27.96|27.19|46.16|47.02|45.74|40.01
P 				disponible  (ppm)|14.00|8.30|4.70|4.70|4.10|3.30
