er53c|||||
NÂº 				de registro|378|379|380|381|382
Horizonte|A1|B21|B22ca|B3ca|Cca
Profundidad 				(cm)|00‑07|14‑27|35‑55|60‑80|102‑118
Materia 				orgÃ¡nica (%)|3.0|2.4|2.1|1.1|0.3
N 				(%)|‑|‑|‑|‑|‑
C/N|13|11|14|11|7
T 				                    < 2 Î¼|39.7|52.0|52.3|47.9|43.2
E 				                  2-20 Î¼|26.6|20.5|21.6|20.9|19.6
X 				                  2-50 Î¼|55.7|44.7|45.3|49.0|53.3
T 				               50-100 Î¼|1.2|0.8|0.6|0.8|0.9
U 				            100-500 Î¼|2.4|1.5|1.2|1.5|1.8
R 				          500-1000 Î¼|1.0|0.7|0.6|0.8|0.8
A 				        1000-2000 Î¼|‑|‑|‑|‑|‑
CO3Ca 				(%)|0.0|0.3|3.0|2.8|9.3
pH 				H2O|6.3|7.5|8.1|8.1|8.3
pH 				ClK|5.7|6.4|7.0|7.0|7.1
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|35.0|41.7|45.1|41.7|34.8
d 				    Ca++|‑|‑|‑|-|‑
C 				 e|||||
a 				         Mg++|‑|‑|‑|‑|‑
t 				   c|||||
i 				   a     K+|1.2|1.1|0.9|1.0|1.2
o 				  m|||||
n 				  b     Na+|2.1|3.8|5.7|3.9|5.2
e 				  i|||||
s 				  o     H+|‑|‑|‑|‑|‑
% 				Na/T|6.0|9.1|12.6|9.4|14.9
|||||
Equivalente 				de humedad (%)|43.1|51.2|56.6|46.9|45.6
SO4Ca 				(gr/%)|-|-|-|0.2|-
