horizontes|a1|b21t|b22t|b3|c
Profundidad 				(cm)|0-10|20-40|50-70|80-100|110-120
M.O. 				(%)|4,52|1,87|1,30|0,63|0,32
C 				(%)|2,63|1,09|0,76|0,37|0,19
N 				(%)|0,234|0,110|0,073|0,052|0,030
C/N|11|10|10|7|6
1000-2000 Âµ|0,0|0,0|0,0|0,0|0,0
CaCO3 				(%) V.|0,0|0,0|0,0|0,0|0,0
pH 				en pasta|5,1|5,9|6,1|6,5|6,6
pH 				en H2O (1:2,5)|5,4|6,1|6,5|7,0|7,2
Mg 				+ +|6,1|3,4|5,1|5,6|4,3
Na 				+ +|0,4|0,6|0,7|0,9|0,8
K 				+ +|0,8|1,0|1,0|1,1|1,1
Mn 				+ +|||||
Valor 				S (m.e./100 gr)|27,4|35,1|38,3|39,4|34,3
H 				cambio (m.e./100 gr)|7,2|6,3|3,2|2,1|1,5
Valor 				T (m.e./100) NH4 Na|34,0|39,3|40,9|40,6|34,5
% 				de saturaciÃ³n de T|81|89|94|97|99
% 				Na/T|1,2|1,5|1,7|2,2|2,3
Equiv. 				de humedad (%)|42,8|53,4|57,5|59,8|53,2
