er318c||||||
NÂº 				de registro|288|289|290|291|292|293
Horizonte|A21|A22|B21t|B22tca|B31ca|IIB32g
Profundidad 				(cm)|00-12|12-25|25-48|50-65|80-100|120-135
Materia 				orgÃ¡nica (%)|3.5|1.8|0.9|0.5|0.3|0.2
N 				(%)|0.20|0.12|0.06|0.05|0.03|ND
C/N|10|9|9|6|5|ND
T 				                     < 2 Î¼|23.9|25.1|45.4|46.7|38.4|28.9
E 				                   2-20 Î¼|31.6|26.1|22.2|22.3|28.8|31.8
X 				                   2-50 Î¼|70.4|67.6|49.4|48.8|56.6|64.1
T 				               50-100 Î¼|4.1|5.2|3.8|3.8|3.7|5.4
U 				             100-250 Î¼|1.1|1.2|0.9|0.6|0.9|1.2
R 				             250-500 Î¼|0.5|0.7|0.4|0.1|0.4|0.4
A 				           500-1000 Î¼|0.0|0.2|0.1|0.0|0.0|0.0
||||||
CO3Ca 				(%)|0.0|0.0|0.2|3.1|0.3|0.0
pH 				H2O|4.9|5.8|7.2|8.1|7.5|6.3
pH 				ClK|4.6|5.3|5.3|7.0|6.4|5.2
CE 				(mmhos/cm)|-|-|-|-|-|-
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|16.0|17.1|28.5|31.9|27.5|21.9
d 				    Ca++|6.8|8.8|ND|ND|ND|11.7
C 				 e||||||
a 				         Mg++|2.5|2.9|ND|ND|ND|4.6
t 				   c||||||
i 				   a     K+|0.4|0.4|1.0|1.5|1.9|1.9
o 				  m||||||
n 				  b     Na+|0.6|0.9|2.1|4.0|2.6|1.3
e 				  i||||||
s 				  o     H+|7.1|4.0|-|-|-|3.0
||||||
% 				Na/T|3.7|5.3|7.4|12.5|9.4|5.9
||||||
Equivalente 				de humedad (%)|29.0|25.7|44.3|50.1|37.2|31.2
FÃ³sforo 				asimilable (ppm)|-|-|-|-|-|-
