ereea_c_del_uruguay||||||
Horizonte|A11|A12|B21|B22|C1|C2
Profundidad 				(cm)|0-10|10-25|25-70|70-110|110-155|155-200
Mat.orgÃ¡nica 				(%)|4,5|4,3|2,4|1,6|0,2|0,1
C 				(%)|2,65|2,55|1,43|0,94|0,10|0,07
N 				(%)|0,250|0,232|0,101|0,056|-|-
C/N|11|11|14|16|-|-
T 				                        <2 Âµ|50,0|51,9|51,7|50,1|49,9|43,9
E 				                     2-20 Âµ|25,7|22,4|27,6|32,8|34,4|41,6
X 				                     2-50 Âµ|37,6|39,1|39,7|38,7|40,8|52,8
T 				                 50-100 Âµ|4,8|4,7|4,5|1,3|2,6|0,6
U 				               100-500 Âµ|3,4|3,1|3,3|1,2|1,9|0,8
R 				             500-1000 Âµ|1,2|0,7|0,8|0,2|0,8|1,6
A 				           1000-2000 Âµ|0|0|0|0|0|0
CO3Ca 				(%)|3,0|0,5|Vest.|8,5|4,0|0,3
pH 				H2O|8,0|8,1|8,3|8,3|8,9|8,7
pH 				ClK|7,0|6,9|6,6|6,6|7,0|6,8
Resistencia 				en pasta Ohms|879|924|955|955|863|1144
Conductividad 				elÃ©ctrica mmhos/cm|0,98|0,70|0,48|0,48|0,57|0,65
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) =  Valor 				T|58,1|59,5|60,3|53,8|53,7|54,4
%Na/T|0.01|0.01|0.02|0.04|0.05|0.05
Equivalente 				de  humedad  (%)|44,2|45,3|54,1|58,8|51,5|52,2
Factor 				de   Humedad|1,12|1,12|1,14|1,12|1,14|1,13
FÃ³sforo 				asimilable ppm|.-|-|-|-|-|-
Horizonte|A11|A12|B21|B22|C1|C2
Profundidad 				(cm)|0-10|10-20|20-60|60-95|95-135|135-200
Mat.orgÃ¡nica 				(%)|5,22|4,04|2,83|1,54|0,34|0,12
C 				(%)|3,04|2,35|1,65|0,98|0,20|0,10
N 				(%)|0,247|0,195|0,103|0,060||
C/N|12|12|16|16||
T 				                       <2 Âµ|46,2|43,3|42,9|41,6|47,6|48,3
E 				                    2-20 Âµ|24,9|25,7|30,3|33,4|36,8|38,6
X 				                   2-50 Âµ|43,1|44,8|45,9|45,2|47,8|47,7
T 				                50-100 Âµ|5,5|5,8|4,3|2,1|1,0|0,9
U 				             100-500 Âµ|4,1|4,4|3,1|1,5|1,1|1,1
R 				            500-1000 Âµ|1,1|1,7|1,5|0,6|1,0|1,5
A 				         1000-2000 Âµ|0|0|0|0|0|0
CO3Ca 				(%)|0|0|2,3|9,0|1,5|0,5
pH 				H2O|7,4|7,2|8,5|8,9|8,9|8,7
pH 				ClK|6,1|5,9|6,9|7,1|7,0|6,5
Resistencia 				en pasta Ohms|1006|1195|975|912|787|848
Conductividad 				elÃ©ctrica mmhos/cm|0,89|0,72|0,56|0,50|0,72|0,50
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) =  Valor 				T|46,2|44,6|53,8|48,4|54,8|51,1
%Na/T|-|-|-|-|-|-
Equivalente 				de  humedad  (%)|39,8|38,2|49,4|61,7|73,1|57,7
Factor 				de   Humedad|1,09|1,09|1,12|1,12|1,14|1,14
FÃ³sforo 				asimilable ppm|-|-|-|-|-|-
