er32c|||||
NÂº 				de registro|104|105|106|107|108
Horizonte|Ap-A12|B21t|B22ca|B3ca|Cca
Profundidad 				(cm)|00-20|22-47|47-68|70-100|105-120
Mat.orgÃ¡nica 				(%)|3.33|1.8|0.74|0.49|0.34
C/N|10|10|9|7|5
|||||
CO3Ca 				(%)|0.0|0.0|5.8|12.0|13.2
pH 				H2O 				(1:2,5)|6.3|6.6|7.6|8.0|8.5
pH 				ClK (1:2,5)|5.8|5.9|6.9|7.1|7.4
CIC 				(meq/100 g)|29.7|34.5|30.8|27.2|26.1
Mg++|3.1|3.2|ND*|ND*|ND*
K+|2.3|1.8|1.4|1.4|1.4
Na+|0.2|0.2|0.4|0.6|2.9
H+|3.7|2.8|||
% 				Na / CIC|0.7|0.6|1.3|2.2|11.1
Equivalente 				de Humedad (%)|28.8|35.1|31.8|30.7|30.0
