er145c||||||
NÂº 				de registro|938|939|940|941|942|943
Horizonte|A1|A3|B21t|B22t|B31|B32ca
Profundidad 				(cm)|06-15|17-30|31-50|60-80|100-115|130-150
Materia 				orgÃ¡nica (%)|3.52|2.34|1.21|0.81|0.81|0.43
N 				(%)|0.22|0.15|0.10|0.08|0.07|ND
C/N|9|9|7|6|4|ND
T 				                     < 2 Î¼|23.5|23.5|39.5|39.5|39.0|31.0
E 				                   2-20 Î¼|29.5|26.5|21.0|22.0|23.0|21.0
X 				                   2-50 Î¼|74.5|74.7|58.9|58.7|59.1|66.7
T 				               50-100 Î¼|1.6|1.5|1.3|1.5|1.5|1.7
U 				             100-500 Î¼|0.4|0.3|0.3|0.3|0.4|0.6
R 				           500-1000 Î¼|-|-|-|-|-|-
A||||||
||||||
CO3Ca 				(%)|-|-|-|-|-|1.9
pH 				H2O|5.5|5.6|6.2|6.7|7.2|7.7
pH 				ClK|5.0|5.0|5.0|5.4|6.0|6.4
Resist. 				en pasta (Ohms)|1.836|3.508|2.088|2.004|1.944|1.916
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|22.6|20.5|32.0|32.5|32.8|27.8
d 				    Ca++|14.1|14.2|23.8|24.7|27.7|ND
C 				 e||||||
a 				         Mg++|2.2|1.1|1.7|1.8|1.4|ND
t 				   c||||||
i 				   a     K+|1.0|0.5|1.0|1.0|1.1|1.2
o 				  m||||||
n 				  b     Na+|0.2|0.3|0.7|0.9|1.1|1.1
e 				  i||||||
s 				  o     H+|-|-|-|-|-|-
||||||
% 				Na/T|0.88|1.46|2.19|2.76|3.35|3.96
||||||
Equivalente 				de humedad (%)|30.2|29.6|42.0|42.0|43.0|32.7
FÃ³sforo 				asimilable (ppm)|-|-|-|-|-|-
