er1132c||||||
NÂ° 				de registro|10781|10782|10783|10784|10785|10786
Horizonte|A1|B21t|B22t|B23t|B3ca|Cca
Profundidad 				(cm)|05-17|25-40|50-70|78-90|100-115|135-145
Mat.orgÃ¡nica 				(%)|3.01|3.29|1.66|1.59|0.76|0.74
C 				(%)|1.75|1.91|0.97|0.92|0.44|0.42
N 				(%)|0.140|0.121|0.088|0.073|0.034|0.024
C/N|12.50|15.79|11.02|12.60|12.94|17.92
T 				                        <2 Âµ|29.53|45.24|42.51|42.11|40.01|39.02
E 				                     2-20 Âµ|27.05|28.53|29.07|29.51|27.02|26.08
X 				                    2-50 Âµ|60.71|48.51|50.53|51.65|54.86|56.46
T 				                 50-100 Âµ|1.07|0.52|1.01|0.49|0.29|0.29
U 				               100-250 Âµ|8.28|5.41|5.63|5.43|4.37|4.00
R 				             500-1000 Âµ|0.41|0.23|0.28|0.29|0.32|0.22
A 				           1000-2000 Âµ|-|0.09|0.04|0.03|0.15|0.01
CO3Ca 				(%)|-|-|-|5.5|15.70|16.20
PH 				H2O|7.2|7.4|8.4|8.9|9.0|8.9
PH 				ClK|6.0|5.9|6.8|7.2|7.3|7.3
Conductividad 				elÃ©ctrica CE 1:4 - ÂµS 				cm-1|76.40|113.20|191.10|223.00|237.00|239.00
Capacidad 				de intercambio catiÃ³nico (cmol(c)kg-1) = Valor 				T|26.82|39.25|40.03|39.77|30.48|27.08
Equivalente 				de humedad (%)|31.94|47.17|44.97|44.49|41.87|38.68
P 				disponible (ppm)|10.60|6.30|5.90|5.30|4.60|4.10
