er1123c: -|-|-|-|-|
NÂ° 					de registro: 10719|10720|10721|10722|10723|10724
Horizonte: A11|A12|B21t|B22t|B3|C
Profundidad 					(cm): 05-15|25-35|45-58|65-85|95-120|130-145
Mat.orgÃ¡nica 					(%): 1.40|1.04|0.74|0.95|0.57|0.43
C 					(%): 0.82|0.61|0.43|0.55|0.33|0.25
N 					(%): 0.096|0.041|0.068|0.037|0.027|0.023
C/N: 8.54|14.88|6.32|14.86|12.22|10.87
T 					                          <2 Âµ: 11.32|11.21|30.18|27.55|24.50|23.92
E 					                       2-20 Âµ: 16.96|12.43|15.40|15.74|15.41|14.39
X 					                      2-50 Âµ: 33.88|29.91|33.78|29.95|29.58|32.33
T 					                   50-100 Âµ: 0.91|1.38|1.04|1.51|1.60|1.68
U 					                 100-250 Âµ: 46.93|47.33|29.67|35.93|40.17|37.38
R 					                 250-500 Âµ: -|-|-|-|-|-
A 					             500 â1000 Âµ: 6.50|8.99|4.18|3.86|3.41|3.31
1000-2000 					Âµ: 0.46|1.18|1.15|1.20|0.74|1.38
CO3Ca 					(%): 0.0|0.0|0.0|0.0|0.0|0.0
PH 					H2O: 6.1|6.3|6.5|6.9|7.1|6.8
PH 					ClK: 5.1|4.9|4.6|5.2|5.2|4.8
Capacidad 					de intercambio catiÃ³nico (m.e./100 g) =  Valor 					T: 17.02|17.54|26.70|25.92|20.68|20.03
Equivalente 					de  humedad  (%): 13.95|10.94|30.83|24.35|21.50|21.20
P 					disponible  (ppm): 9.60|8.70|4.80|4.70|4.50|4.50
