er1136c: -|-|-|-|-|
NÂ° 					de registro: 11051|11052|11053|11054|11055|11056
Horizonte: A11|A12|B21t|B22t|B3ca|C
Profundidad 					 (cm): 02-15|18-30|32-62|85-95|100-115|130-140
Mat. 					OrgÃ¡nica (%): 3.01|1.70|0.76|0.67|0.07|0.07
C 					(%): 1.75|0.99|0.44|0.39|0.04|0.04
N 					(%): 0.161|0.085|0.068|0.060|0.031|0.020
C/N: 10.87|11.65|6.47|6.50|1.29|2.00
T 					                        <2 Âµ: 27.41|26.76|44.70|44.91|45.73|43.58
E 					                     2-20 Âµ: 42.85|42.98|30.44|30.74|30.91|29.91
X 					                   20-50 Âµ: 61.75|61.00|49.26|48.97|47.24|43.91
T 					                 50-100 Âµ: 1.34|1.08|0.40|0.32|0.66|0.79
U 					               100-250 Âµ: 9.23|10.85|5.51|5.56|6.20|11.29
R 					               250-500 Âµ: -|-|-|-|-|-
A 					            500-1000 Âµ: 0.27|0.31|0.13|0.24|0.17|0.43
1000-2000 					Âµ: -|-|-|-|-|-
CO3Ca 					(%): 0.0|0.0|0.0|0.0|0.32|-
Ph 					H2O: 6.0|7.1|7.4|7.7|8.1|8.0
Ph 					ClK: 5.1|5.8|5.8|6.3|6.6|6.2
Conductividad 					(mmhos/cm): 0.38|0.27|0.28|0.36|0.50|0.24
Capacidad 					de intercambio catiÃ³nico (m.e./100 g) =  Valor 					T: 28.31|25.47|43.80|43.63|46.87.|43.06
% 					Na/T: 0.01|0.03|0.03|0.06|0.06|0.06
Equiv. 					de humedad (%): 29.34|28.70|46.79|46.53|44.73|42.81
P 					disponible (ppm): 34.50|6.70|4.30|3.70|3.40|2.90
