ereea_c_del_uruguay: -|-|-|-|-|-|-|
Horizonte: A11|A12|A2|IIB21g|IIB22g|C1|C2|C3
Profundidad 				(cm): 0-7|7-30|30-40|40-60|60-85|85-120|120-150|150-230
Mat.orgÃ¡nica 				(%): 4,76|2,84|1,66|1,27|0,51|0,34|0,25|0,15
C 				(%): 2,77|1,57|0,97|0,74|0,30|0,20|0,15|0,09
N 				(%): 0,276|0,164|0,105|0,089|0,099|0,033|0,029|S/d
C/N: 10|10|9|8|7|6|6|S/d
T 				              <2 Âµ: 11,9|9,3|8,3|29,3|33,2|29,0|24,5|24,8
E 				           2-20 Âµ: 10,9|8,8|9,9|6,6|10,2|9,0|10,2|2,6
X 				           2-50 Âµ: 18,1|17,1|17,7|15,9|18,9|17,4|17,4|6,2
T 				       50-100 Âµ: 1,6|1,6|2,0|1,9|1,8|2,0|1,9|1,4
U 				     100-500 Âµ: 24,0|24,7|28,8|21,8|19,7|23,6|25,0|21,6
R 				    500-1000 Âµ: 40,9|42,8|39,4|27,1|23,5|26,0|28,1|41,0
A 				 1000-2000 Âµ: 3,5|4,5|3,8|3,4|2,9|2,0|2,8|4,3
CO3Ca 				(%): 0|0|0|0|0,2|2,0|0|0
pH 				H2O: 5,0|5,1|5,5|6,4|7,5|8,0|7,4|6,7
pH 				ClK: 4,6|4,6|4,7|5,2|6,2|6,6|5,8|5,3
Resistencia 				en pasta (ohms): 7728|12900|18463|2385|1997|3215|2801|3123
Capacidad 				de intercambio catiÃ³nico (m.e./100 				g) = Valor 				T: 14,9|14,2|10,3|26,0|26,2|24,9|24,0|25,0
%Na/T: 0,01|0,01|0,12|0,05|0,06|0,05|0,05|0,03
Equivalente 				de humedad (%): 14,3|10,3|8,6|24,2|29,9|26,4|25,3|21,8
Factor 				de   Humedad: 1,016|1,009|1,006|1,026|1,032|1,028|1,024|1,021
FÃ³sforo asimilable 				ppm: -|-|-|-|-|-|-|-
