n_de_registro: 8234|8235|8236|8237|8238|8239
Horizonte: A11|A12|B21t|B22t|B3ca|Cca
Profundidad 				(cm): 02‑12|17‑22|30‑40|50‑70|85‑100|114-120
Materia 				orgÃ¡nica (%): 4.11|3.09|1.68|1.04|0.31|0.26
C 				(%): 2.38|1.78|0.97|0.60|0.18|0.15
N 				(%): 0.220|0.152|0.104|0.074|0.044|0.029
C/N: 11|12|9|8|4|5
AnÃ¡lisis 				granulomÃ©trico(textura): -|-|-|-|-|
< 				2 Âµ: 23.0|32.0|33.0|32.0|21.0|21.0
2-50 				Âµ: 70.9|62.1|62.3|63.3|74.0|74.5
50-500 				Âµ: 6.1|5.9|4.8|4.7|5.1|4.6
CO3Ca 				(%): N.D.|N.D.|N.D.|N.D.|N.D.|N.D.
pH 				H20: 5.52|5.76|6.14|7.05|7.87|8.04
pH 				ClK: 5.24|5.17|5.23|5.80|6.77|7.08
Capacidad de intercambio  catiÃ³nico (cmol/Kg) Valor 				T: 23.87|26.83|35.63|32.11|30.96|31.53
Valor S: 19.29|22.12|33.24|30.28|27.81|29.32
Equivalente 				de humedad (%): N.D.|N.D.|N.D.|N.D.|N.D.|N.D.
FÃ³sforo 				asimilable (ppm P2O5): 10.02|5.53|2.72|2.37|2.79|5.04
