er71c: -|-|-|-|-|
NÂº de registro: 1146|1147|1148|1149|1150|1151
Horizonte: Ap|B1|B21t|B22t|B3ca|Cca
Profundidad (cm): 00-17|17-27|30-42|52-68|96-114|130-142
Mat.orgÃ¡nica (%): 3.46|2.72|1.43|0.79|0.45|0.10
N (%): 0.223|0.158|0.118|0.076|0.052|-
C/N: 9|10|7|6|5|-
: -|-|-|-|-|
CO3Ca (%): 0.0|0.0|0.0|0.0|2.4|3.6
pH H2O: 5.8|6.1|6.5|6.9|8.3|8.2
pH ClK: 5.3|5.4|5.6|5.8|7.7|7.5
Capacidad de intercambio 				catiÃ³nico (m.e./100 g) =  Valor T: 20.90|23.10|33.70|30.40|N.D.|N.D.
: -|-|-|-|-|
d       Ca ++: 17.10|18.80|28.60|26.30|29.90|29.90
C     e: -|-|-|-|-|
a              Mg++: 2.60|1.90|1.80|1.70|N.D.|N.D.
t      C: -|-|-|-|-|
i       a       K+: 0.90|0.60|1.00|1.10|1.00|1.10
o     m: -|-|-|-|-|
n     b       Na+: 0.20|0.20|0.60|0.80|0.90|0.90
e      i: -|-|-|-|-|
s      o       H+: 2.10|1.60|1.70|0.50|N.D.|N.D.
% Na/T: 0.96|0.87|1.78|2.63|-|-
Equivalente de humedad (%): 20.00|31.40|45.70|43.40|37.30|36.20
