er1130c: -|-|-|-|-|
NÂ° 				de registro: 10772|10773|10774|10775|10776|10777
Horizonte: A1|B1|B21t|B22t|B3ca|Cca
Profundidad 				(cm): 02-10|11-20|23-40|50-80|90-110|145-160
Mat.orgÃ¡nica 				(%): 3.68|3.68|2.41|1.12|0.89|0.29
C 				(%): 2.14|2.14|1.40|0.65|0.52|0.17
N 				(%): 0.184|0.174|0.112|0.063|0.027|0.019
C/N: 11.63|12.30|12.50|10.32|19.26|8.95
T 				                        <2 Âµ: 27.98|32.43|41.90|39.84|37.20|3641
E 				                     2-20 Âµ: 26.12|24.80|20.98|30.30|30.41|30.22
X 				                     2-50 Âµ: 48.24|48.42|39.39|41.77|46.76|48.07
T 				                 50-100 Âµ: 1.31|1.35|0.88|1.22|0.87|0.52
U 				               100-250 Âµ: 20.94|16.94|16.75|16.20|13.92|14.05
R 				               250-500 Âµ: -|-|-|-|-|-
A 				             500-1000 Âµ: 1.51|0.81|1.06|0.94|1.23|0.84
1000-2000 				Âµ: 0.02|0.05|0.02|0.03|0.02|0.11
CO3Ca 				(%): 0.0|0.0|0.0|3.43|18.09|14.77
PH 				H2O: 6.7|6.8|7.1|8.4|8.6|8.7
PH 				ClK: 5.7|5.8|5.9|7.1|7.4|7.4
Conductividad 				elÃ©ctrica CE 1:4 - ÂµS 				cm-1: 76.80|77.50|69.90|138.40|148.60|151.40
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) =  Valor 				T: 26.56|31.14|39.79|36.37|29.04|30.48
%Na/T: 0.01|0.01|0.01|0.01|0.01|0.01
Equivalente 				de  humedad  (%): 27.36|30.33|39.17|37.34|35.17|34.79
P 				disponible  (ppm): 12.70|7.20|4.70|4.10|3.00|2.90
