er192c: -|-|-|
NÂº 				de registro: 7747|7748|7749|7750
Horizonte: A2|B21t|B22t|B3
Profundidad 				(cm): 02-09|13-26|30-56|60-65
Materia 				orgÃ¡nica (%): 7.16|2.22|0.80|0.58
N 				(%): 0.34|0.10|0.05|0.03
C/N: 12|12|9|10
T 				                     < 2 Î¼: 23.71|37.17|45.74|45.89
E 				                   2-20 Î¼: 28.74|26.37|22.59|24.73
X 				                   2-50 Î¼: 64.42|54.84|44.87|45.23
T 				               50-100 Î¼: 4.11|6.63|2.43|4.33
U 				             100-500 Î¼: 7.55|1.12|6.81|4.37
R 				           500-1000 Î¼: 0.21|0.24|0.15|0.15
A 				         1000-2000 Î¼: 0.0|0.0|0.0|0.03
: -|-|-|
CO3Ca 				(%): 0.0|0.0|0.18|0.07
pH 				H2O: 5.9|7.6|8.4|8.0
pH 				ClK: 4.7|6.8|7.2|7.1
CE 				(mmhos/cm): 8.85|9.15|10.42|8.60
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T: 21.40|33.80|45.10|38.70
d 				    Ca++: 15.40|18.60|21.70|20.90
C 				 e: -|-|-|
a 				         Mg++: 1.66|2.54|4.28|3.75
t 				   c: -|-|-|
i 				   a     K+: 0.75|1.30|1.55|1.35
o 				  m: -|-|-|
n 				  b     Na+: 3.00|11.25|17.50|12.50
e 				  i: -|-|-|
s 				  o     H+: -|-|-|-
: -|-|-|
% 				Na/T: 14.0|33.3|38.8|33.3
: -|-|-|
Equivalente 				de humedad (%): -|-|-|-
FÃ³sforo 				asimilable (ppm): -|-|-|-
