n_de_registro: 30571|30572|30573|30574
Horizonte: I|II|III|IV
Profundidad 				(cm): 2-15|19-39|42-80|83-110
Mat. 				orgÃ¡nica (%): 3.66|0.31|0.12|0.43
C 				(%): 2.13|0.18|0.07|0.25
N 				(%): 0.217|-|-|-
C/N: 9.8|-|-|-
T 				                          <2 Âµ: 37.1|20.5|12.8|18.6
E 				                       2-20 Âµ: 32.5|19.7|9.5|21.9
X 				                       2-50 Âµ: 54.1|51.6|46.7|41.0
T 				                     50-74 Âµ: 6.5|16.3|26.2|26.0
U 				                   74-100 Âµ: 1.6|6.6|12.4|11.9
R 				                 100-250 Âµ: 0.7|5.0|1.3|2.5
A 				                 250-500 Âµ: -|-|-|-
: -|-|-|
Gravilla 				(> 7) Tosca  Ca %: -|-|-|-
CaCO3 				 (%) V: -|-|6.0|-
Equiv. 				de humedad (%): 32.7|23.4|13.3|9.9
Resistencia 				de la pasta (Ohms/cm): 467|308|308|355
pH 				en pasta: 6.2|6.8|7.2|7.0
pH 				en agua (1 . 2,5): 6.7|7.3|7.8|7.5
pH 				en l N KCl (1: 2,5): 5.4|6.0|6.8|6.5
Conductividad 				(mmhos/cm): 4.4|6.2|7.5|6.4
Mg++: 7.9|5.9|-|5.5
Na+: 6.5|3.6|1.8|3.2
K+: 0.3|0.2|0.2|0.2
% 				Na+ 				en cambio de v. T: 25|21|15|21
% 				de agua de saturaciÃ³n: 61|47|42|34
Valor 				S (m.e./100 g): 27.5|18.1|-|16.4
H 				de cambio (m.e./100 g): 4.8|2.4|-|2.2
Valor 				T (m.e./100) NH4++ 				 o 				Na+: 26.0|17.2|12.1|15.3
% 				de saturaciÃ³n de T: 100|100|-|100
% 				de saturaciÃ³n de S + H: 85|88|-|88
FÃ³sforo 				asimilable (ppm): 5.5|0.9|4.4|9.4
Factor 				de Humedad: 1.05|1.02|1.01|1.01
