n_de_registro: 1705|1706|1707|1708|1709|1710|1711
Horizonte: Ap|B1|B21t|B22t|B31ca|B32ca|Cca
Profundidad (cm): 01‑10|15‑22|30‑40|50‑70|80‑100|107-115|125-145
Materia orgÃ¡nica (%): 5.07|4.65|3.67|2.12|1.20|1.06|0.35
N (%): 0.20|0.18|0.15|0.08|0.04|0.03|0.02
C/N: 14|15|14|14|17|20|10
T       				              < 2 Âµ: 31.58|31.90|38.65|44.81|49.93|48.68|47.25
E                   2-20 Âµ: 30.49|30.31|28.60|26.42|21.86|21.01|20.96
X                  2-50 Âµ: 66.88|66.18|59.58|53.69|48.34|49.65|51.11
T               50-100 Âµ: 0.34|0.67|0.72|0.38|0.78|0.82|0.64
U 				            100-500 Âµ: 1.19|1.24|1.01|1.09|0.93|0.84|0.99
R           500-1000 Âµ: 0.01|0.01|0.04|0.03|0.02|0.01|0.01
A         1000-2000 Âµ: ‑|‑|‑|‑|‑|-|-
CO3Ca 				(%): 0.0|0.0|0.0|0.0|5.38|7.18|6.15
pH H2O: 6.3|6.3|6.4|7.2|8.4|8.5|8.6
pH 				ClK: 5.3|5.3|5.2|5.7|6.9|7.0|7.0
Capacidad de intercambio  catiÃ³nico (meq/100 g) = valor 				T: 36.1|35.1|42.1|45.2|36.6|34.1|38.6
% Na/T: 1.9|2.6|2.9|3.8|6.0|8.8|8.8
Equivalente 				de humedad (%): 35.25|32.86|42.42|46.62|48.09|46.60|45.16
FÃ³sforo asimilable p.p.m.: 9.09|4.35|3.03|2.41|2.40|2.40|1.75
