119c_inta_castelar: -|-|-|-|
NÂ° 				de registro: -|-|-|-|
Horizonte: O1|A1|IIC1|IIIC2|IVC3
Profundidad 				(cm): -|5-12|18-25|40-75|100-145
Mat. 				orgÃ¡nica (%): -|5.09|0.91|0.52|-
C 				(%): -|2.95|0.53|0.30|-
N 				(%): -|0.224|0.077|0.035|-
C/N: -|13|7|9|-
T 				                              <2 Âµ: -|35.5|27.2|14.4|12.9
E 				                           2-20 Âµ: -|26.2|19.1|16.3|14.3
X 				                           2-50 Âµ: -|57.4|60.4|45.4|57.8
T 				                         50-74 Âµ: -|5.7|8.5|18.5|16.6
U 				                       74-100 Âµ: -|1.1|3.6|16.2|12.4
R 				                     100-250 Âµ: -|0.2|0.2|5.4|0.2
A 				                     250-500 Âµ: -|0.1|0.1|0.1|0.1
500-1000 Âµ: -|-|-|-|-
1000-2000 Âµ: -|-|-|-|-
: -|-|-|-|
CO3Ca 				(%): -|0|0|0|0
Equivalente 				de humedad  (%): -|31.5|22.0|12.4|9.4
Resistencia 				de la pasta (Ohms/cm): -|2628|1991|733|653
pH 				en pasta: -|5.2|5.9|6.6|6.6
pH 				en agua (1:2,5): -|5.8|6.6|7.2|7.7
pH 				en KCl (1:2,5): -|4.4|4.9|5.9|6.1
Conductividad 				(mmhos/cm): -|-|-|4.77|5.30
Mg++: -|4.1|3.2|2.1|1.7
Na+: -|2.3|1.6|1.4|1.3
K+: -|0.3|0.1|0|0
H+: -|10.9|4.3|0.8|0.8
Na+ 				% del valor T: -|11|12|21|20
Suma 				de bases, m.e./100 gr (S): -|14.9|13.0|7.2|7.0
C.I.C., 				m.e./100 gr (T): -|20.4|13.6|6.8|6.6
SaturaciÃ³n 				con bases, (%) (S/T): -|73|96|100|100
