n_de_registro: 30568|30569|30570
Horizonte: I|II|III
Profundidad 				(cm): 2-19|23-35|40-170
Mat.orgÃ¡nica 				(%): 2.10|0.41|0.10
C 				(%): 1.22|0.24|0.06
N 				(%): 0.236|-|-
C/N: 5|-|-
T 				                          <2 Âµ: 33.2|19.8|7.5
E 				                       2-20 Âµ: 26.9|12.4|5.7
X 				                       2-50 Âµ: 50.3|51.5|22.5
T 				                     50-74 Âµ: 10.7|20.6|38.7
U 				                   74-100 Âµ: 3.6|6.5|25.0
R 				                 100-250 Âµ: 2.2|1.6|6.3
A 				                 250-500 Âµ: -|-|-
: -|-|
Gravilla 				(> 7) Tosca  Ca %: -|-|-
CaCO3 				 (%) V: -|-|-
Equiv. 				de humedad (%): 33.0|20.5|7.9
Resistencia 				de la pasta (Ohms/cm): 150|112|112
pH 				en pasta: 5.0|6.1|6.5
pH 				en agua (1 . 2,5): 5.5|6.7|6.9
pH 				en l N KCl (1: 2,5): 4.7|5.7|6.1
Conductividad 				(mmhos/cm): 16.9|21.3|35.7
Mg++: 8.5|5.2|2.2
Na+: 4.3|5.5|1.6
K+: 0.3|0.2|0.1
% 				Na+ 				en cambio de v. T: 17|30|29
% 				de agua de saturaciÃ³n: 66|49|41
Valor 				S (m.e./100 g): 27.9|20.4|7.2
H 				de cambio (m.e./100 g): 8.7|3.7|2.2
Valor 				T (m.e./100) NH4++ 				 o 				Na+: 25.8|18.2|5.6
% 				de saturaciÃ³n de T: 100|100|100
% 				de saturaciÃ³n de S + H: 76|85|76
FÃ³sforo 				asimilable (ppm): 2.0|1.1|4.4
Factor 				de Humedad: 1.04|1.02|1.01
