er7130c: -|-|-|-|-|
NÂº 				de registro: 2732|2733|2734|2735|2736|2737
Horizonte: Ap|B1|B21t|B22t|B3ca|Cca
Profundidad 				(cm): 05-15|20-30|35-47|55-70|80-95|115-130
Materia 				orgÃ¡nica (%): 5.0|3.6|2.3|1.4|1.3|0.3
N 				(%): 0.21|0.17|0.10|0.07|0.06|0.03
C/N: 14|12|13|12|13|7
T 				                     < 2 Î¼: 36.61|43.43|50.50|50.01|44.51|43.09
E 				                   2-20 Î¼: 31.86|27.95|27.53|25.95|26.71|26.08
X 				                   2-50 Î¼: 60.21|53.49|46.70|47.08|52.99|54.88
T 				               50-100 Î¼: 1.22|1.08|1.47|1.09|0.91|0.81
U 				             100-500 Î¼: 1.91|1.98|1.28|1.76|1.56|1.17
R 				           500-1000 Î¼: 0.05|0.02|0.05|0.06|0.03|0.05
A: -|-|-|-|-|
: -|-|-|-|-|
CO3Ca 				(%): 0.0|0.0|0.0|0.95|5.71|6.81
pH 				H2O: 6.5|6.3|6.7|7.4|8.1|8.2
pH 				ClK: 5.4|5.4|5.9|6.7|7.2|7.3
CE 				(mmhos/cm): 0.530|0.468|0.632|0.874|0.827|0.679
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T: 32.71|41.22|49.11|48.20|42.09|41.17
d 				    Ca++: 25.81|33.09|44.73|42.64|-|-
C 				 e: -|-|-|-|-|
a 				         Mg++: 2.21|2.49|2.12|2.60|-|-
t 				   c: -|-|-|-|-|
i 				   a     K+: 1.16|1.17|1.24|1.34|1.16|1.09
o 				  m: -|-|-|-|-|
n 				  b     Na+: 0.62|0.47|0.50|0.62|1.00|1.00
e 				  i: -|-|-|-|-|
s 				  o     H+: -|-|-|-|-|-
: -|-|-|-|-|
% 				Na/T: 1.89|1.14|1.02|1.29|2.37|2.43
: -|-|-|-|-|
Equivalente 				de humedad (%): 33.46|41.07|50.56|47.94|42.80|41.18
FÃ³sforo 				asimilable (ppm): 16.48|7.07|4.61|4.54|3.62|3.36
