er244c: -|-|-|-|
NÂ° 				de registro: 897|898|899|900|901
Horizonte: Ap|I|I/II|II|III
Profundidad 				(cm: 05-12|35-55|75-88|95-110|140-160
Mat.orgÃ¡nica 				(%): 0,5|0,3|0,2|0,7|0,0
C/N: 9|7|6|7|-
Gravas: 1,2|1,1|4,5|17,2|7,8
CO3Ca 				(%): -|-|-|-|-
pH 				H2O: 5,7|6,0|6,1|5,6|5,8
pH 				ClK: 4,5|4,7|4,6|4,0|4,1
Capacidad 				de intercambio catiÃ³nico (m.e./100 				g) =  Valor 				T: 2,1|2,6|3,5|18,9|10,2
% 				Na/T: 4,8|3,8|2,9|0,5|1,0
Equivalente 				de  humedad  (%): 2,9|4,6|6,4|22,9|15,7
SaturaciÃ³n 				de bases (%): 33,0|48,0|57,0|52,0|46,0
