-     | -     | -     |   -       |
-     | -     | -     |   -       |
A1    | IIC1  | IIIC2 |   IVC3    |     VC4
5-15  | 30-42 | 58-78 |   100-120 |     138-150
4.34  | 0.45  | 0.03  |   -       |     -
2.52  | 0.26  | 0.02  |   -       |     -
0.140 | -     | -     |   -       |     -
18    | -     | -     |   -       |     -
25.2  | 17.1  | 18.6  |   16.5    |     12.6
23.2  | 25.0  | 13.0  |   11.7    |     13.3
66.3  | 71.9  | 69.6  |   70.8    |     55.2
5.9   | 6.5   | 7.8   |   9.2     |     20.5
2.3   | 2.8   | 2.8   |   3.1     |     11.2
0.2   | 0.3   | 0.5   |   0.3     |     0.4
0.1   | 0.2   | 0.7   |   0.1     |     0.1
-     | -     | -     |   -       |     -
-     | -     | -     |   -       |     -
-     | -     | -     |   -       |
0     | 1.2   | vest.  (n) |       vest.  (n)     | vest.  (n)
25.6  | 22.7  | 19.6  |   15.3    |     7.6
1398  | 699   | 373   |   342     |     466
7.0   | 8.0   | 7.4   |   7.2     |     7.4
7.6   | 9.0   | 8.2   |   7.8     |     7.9
6.1   | 7.5   | 7.1   |   6.9     |     6.7
-     | 5.67  | 13.18 |   15.06   |     10.85
8.3   | -     | -     |   -       |     -
2.4   | 6.2   | -     |   -       |     -
0.5   | 0.2   | -     |   -       |     -
4.1   | -     | -     |   -       |     -
12    | 32    | -     |   -       |     -
19.2  | -     | -     |   -       |     -
19.4  | 19.6  | -     |   -       |     -
99    | -     | -     |   -       |     -
