30575 | 30576 | 30577 | 30578 | 30579
I     | II    | III   | IV    | V
2-15  | 19-40 | 43-57 | 61-88 | 92-110
3.27  | 0.57  | 0.43  | 0.43  | 0.34
1.90  | 0.33  | 0.25  | 0.25  | 0.20
0.188 | 0.054 | -     | -     | -
10    | 6     | -     | -     | -
32.4  | 34.2  | 37.8  | 38.2  | 25.8
18.0  | 16.2  | 16.2  | 16.2  | 23.1
37.5  | 38.5  | 35.2  | 49.6  | 64.9
17.0  | 17.3  | 17.5  | 7.3   | 6.8
7.9   | 6.9   | 6.9   | 3.4   | 1.9
5.2   | 3.1   | 2.6   | 1.5   | 0.6
-     | -     | -     | -     | -
-     | -     | -     | -     |
-     | -     | -     | -     | -
-     | -     | -     | -     | -
27.8  | 29.7  | 35.5  | 39.2  | 38.2
1308  | 607   | 514   | 935   | 561
4.5   | 6.5   | 7.5   | 7.5   | 7.4
5.2   | 7.1   | 8.2   | 8.2   | 8.1
2,5)
-     | 3.1   | 4.1   | 2.6   | 4.4
3.6   | 3.7   | 4.9   | 4.1   | 7.6
2.8   | 7.1   | 6.8   | 10.9  | 7.4
0.2   | 0.2   | 0.2   | 0.3   | 0.3
15    | 48    | 39    | 57    | 37
49    | 45    | 49    | 55    | 56
14    | 16.5  | 17.4  | 21.3  | 22.5
11.6  | 4.3   | -     | -     | 3.5
18.3  | 14.7  | 17.5  | 18.9  | 20.2
76    | 100   | 99    | 100   | 100
55    | 79    | -     | -     | 87
1.6   | 0.9   | 1.2   | 1.9   | 1.6
1.02  | 1.02  | 1.02  | 1.03  | 1.03
