-     | -     | -     | -      | -      | -      | -       |
A11   | A12   | A2    | IIB21g | IIB22g | C1     | C2      | C3
0-7   | 7-30  | 30-40 | 40-60  | 60-85  | 85-120 | 120-150 | 150-230
4,76  | 2,84  | 1,66  | 1,27   | 0,51   | 0,34   | 0,25    | 0,15
2,77  | 1,57  | 0,97  | 0,74   | 0,30   | 0,20   | 0,15    | 0,09
0,276 | 0,164 | 0,105 | 0,089  | 0,099  | 0,033  | 0,029   | S/d
10    | 10    | 9     | 8      | 7      | 6      | 6       | S/d
11,9  | 9,3   | 8,3   | 29,3   | 33,2   | 29,0   | 24,5    | 24,8
10,9  | 8,8   | 9,9   | 6,6    | 10,2   | 9,0    | 10,2    | 2,6
18,1  | 17,1  | 17,7  | 15,9   | 18,9   | 17,4   | 17,4    | 6,2
1,6   | 1,6   | 2,0   | 1,9    | 1,8    | 2,0    | 1,9     | 1,4
24,0  | 24,7  | 28,8  | 21,8   | 19,7   | 23,6   | 25,0    | 21,6
40,9  | 42,8  | 39,4  | 27,1   | 23,5   | 26,0   | 28,1    | 41,0
3,5   | 4,5   | 3,8   | 3,4    | 2,9    | 2,0    | 2,8     | 4,3
0     | 0     | 0     | 0      | 0,2    | 2,0    | 0       | 0
5,0   | 5,1   | 5,5   | 6,4    | 7,5    | 8,0    | 7,4     | 6,7
4,6   | 4,6   | 4,7   | 5,2    | 6,2    | 6,6    | 5,8     | 5,3
7728  | 12900 | 18463 | 2385   | 1997   | 3215   | 2801    | 3123
14,9  | 14,2  | 10,3  | 26,0   | 26,2   | 24,9   | 24,0    | 25,0
0,01  | 0,01  | 0,12  | 0,05   | 0,06   | 0,05   | 0,05    | 0,03
14,3  | 10,3  | 8,6   | 24,2   | 29,9   | 26,4   | 25,3    | 21,8
1,016 | 1,009 | 1,006 | 1,026  | 1,032  | 1,028  | 1,024   | 1,021
-     | -     | -     | -      | -      | -      | -       | -
