-     | -     | -     | -       |
A1    | IIB21 | IIB22 | IIB31ca | IIB32ca
7-18  | 27-38 | 43-53 | 60-80   | 92-100
2,71  | 1,83  | 1,55  | 1,24    | 0,38
1,57  | 1,06  | 0,9   | 0,72    | 0,22
0,163 | 0,121 | 0,114 | 0,086   | 0,049
10    | 9     | 9     | 8       | 5
-     | -     | -     | -       |
0,0   | 0,0   | 0,0   | 4,7     | 9,0
58,0  | 69,0  | 74,0  | 69,0    | 68,3
22,9  | 38,8  | 38,5  | 33,9    | 33,0
8,0   | 6,5   | 7,3   | 7,8     | 7,8
6,5   | 7,1   | 7,8   | 8,2     | 8,2
5,3   | 5,7   | 6,4   | 7,0     | 7,0
-     | -     | -     | -       | 0,6
-     | -     | -     | -       | -
3532  | 1764  | 1412  | 1112    | 850
2,9   | 3,0   | 4,2   | ND      | ND
1,0   | 2,7   | 3,0   | 3,7     | 3,7
0,3   | 0,4   | 0,6   | 0,6     | 0,6
223   | 39,4  | 41,7  | ND      | ND
2,1   | 2,1   | 2,1   | ND      | ND
24,6  | 40,8  | 43,0  | 35,7    | 35,4
91    | 97    | 97    | ND      | ND
-     | -     | -     | -       | -
4,1   | 6,6   | 7,0   | 10,4    | 10,5
