5441  | 5442  | 5443  | 5444   | 5445
A1    | B21t  | B22t  | B3ca   | Cca
08‑19 | 30‑47 | 60‑80 | 95‑110 | 127+
4.89  | 1.46  | 0.76  | 0.45   | 0.15
0.21  | 0.08  | 0.05  | 0.05   | 0.02
14    | 10    | 8     | 6      | N.D.
35.44 | 53.23 | 45.52 | 62.82  | 48.72
36.10 | 22.82 | 25.98 | 31.79  | 32.03
61.14 | 44.16 | 51.12 | 34.35  | 46.52
3.24  | 2.52  | 3.28  | 2.73   | 4.04
0.17  | 0.09  | 0.08  | 0.10   | 0.72
-     | -     | -     | -      | -
-     | -     | -     | -      |
-     | -     | -     | 0.8    | 7.7
6.1   | 6.8   | 7.3   | 7.9    | 8.3
5.2   | 5.5   | 5.8   | 6.6    | 7.1
38.40 | 50.10 | 49.20 | -      | -
33.60 | 48.22 | 39.61 | 37.44  | 33.18
