-      | -      | -      | -      |
10.329 | 10.330 | 10.331 | 10.332 | 10.333
A1     | B21ca  | B22ca  | C1ca   | C2ca
05-20  | 25-32  | 43-52  | 70-90  | 110-120
3.05   | 1.78   | 1.06   | 0.92   | 0.50
0.16   | 0.07   | 0.05   | 0.04   | 0.02
11     | 14     | 12     | 15     | 13
36.40  | 36.75  | 36.00  | 33.69  | 26.00
30.66  | 29.76  | 28.95  | 29.96  | 24.88
54.80  | 55.99  | 56.43  | 58.12  | 44.64
4.50   | 3.81   | 3.89   | 3.96   | 4.05
4.18   | 3.30   | 3.52   | 3.99   | 24.12
-      | -      | -      | -      | -
0.10   | 0.13   | 0.13   | 0.20   | 1.15
0.02   | 0.02   | 0.02   | 0.04   | 0.04
0.04   | 4.4    | 11     | 9      | 8
7.5    | 7.7    | 7.5    | 7.5    | 7.6
7.0    | 7.2    | 7.1    | 7.1    | 7.1
-      | -      | -      | -      | -
34.22  | 34.20  | N.D.   | N.D.   | N.D.
6.31   | 6.35   | N.D.   | N.D.   | N.D.
33.05  | 33.35  | 32.91  | 31.71  | 23.38
2.78   | 0.09   | -      | -      | -
