-     | -     | -     | -     |   -      |
-     | -     | -     | -     |   -      |
A11   | A12   | IIC1  | IIIC2 |   IVC3   |    VC4
5-15  | 30-40 | 45-58 | 67-87 |   98-115 |    135-145
4.17  | 1.66  | 1.76  | 1.31  |   0.48   |    -
2.42  | 0.96  | 1.02  | 0.76  |   0.28   |    -
0.198 | 0.084 | 0.053 | 0.068 |   -      |    -
12    | 11    | 19    | 11    |   -      |    -
28.1  | 26.5  | 49.4  | 60.9  |   55.9   |    12.5
14.5  | 16.1  | 16.0  | 11.9  |   18.0   |    8.3
25.1  | 24.6  | 24.7  | 23.5  |   27.8   |    10.8
13.3  | 13.4  | 6.0   | 6.4   |   5.8    |    13.7
18.1  | 19.3  | 10.6  | 3.2   |   6.7    |    36.8
13.9  | 14.4  | 9.0   | 5.5   |   3.7    |    25.7
1.4   | 1.7   | 0.3   | 0.5   |   0.1    |    0.5
0.1   | 0.1   | -     | -     |   -      |    -
-     | -     | -     | -     |   -      |    -
-     | -     | -     | -     |   -      |
0     | 0     | 0     | vest   (n) |      vest  (n)     | vest  (n)
22.4  | 21.4  | 38.5  | 49.7  |   39.7   |    11.2
3106  | 2795  | 699   | 388   |   295    |    512
5.5   | 6.1   | 6.3   | 6.9   |   7.2    |    7.0
6.0   | 6.7   | 7.0   | 7.5   |   7.5    |    7.9
4.8   | 5.2   | 5.5   | 6.3   |   6.5    |    6.8
-     | -     | 2.47  | 10.08 |   13.09  |    10.65
3.1   | 2.4   | 6.3   | -     |   -      |    -
1.2   | 1.6   | 3.7   | -     |   -      |    -
1.0   | 0.3   | 0.8   | -     |   -      |    -
9.0   | 5.3   | 6.7   | -     |   -      |    -
6     | 9     | 11    | -     |   -      |    -
16.7  | 16.3  | 33.9  | -     |   -      |    -
20.0  | 17.1  | 33.1  | -     |   -      |    -
84    | 95    | 100   | -     |   -      |    -
