30551 | 30552 | 30553 | 30554
A     | I     | II    | III
1-10  | 15-29 | 35-60 | 65-140
14.64 | 2.99  | 0.17  | 0.07
8.46  | 1.73  | 0.10  | 0.04
0.801 | 0.265 | -     | -
10.6  | 6.5   | -     | -
28.9  | 29.8  | 5.7   | 5.9
24.0  | 27.0  | 4.8   | 3.8
44.0  | 52.0  | 23.3  | 22.3
9.6   | 12.3  | 46.9  | 46.7
16.9  | 5.2   | 22.6  | 23.2
0.6   | 0.7   | 1.5   | 1.9
-     | -     | -     | -
-     | -     | -     | -
-     | -     | -     | -
43.8  | 30.4  | 6.7   | 6.3
2054  | 1467  | 1174  | 7.83
4.9   | 5.3   | 6.3   | 6.6
5.3   | 5.7   | 6.5   | 7.0
4.4   | 4.7   | 6.0   | 6.0
-     | -     | -     | -3.4
5.5   | 5.4   | 1.6   | 1.8
1.4   | 1.9   | 1.2   | 0.5
0.6   | 0.3   | 0.1   | 0.1
4.2   | 8     | 25    | 10
96    | 56    | 41    | 37
22.7  | 19.3  | 5.1   | 5.5
15.7  | 9.3   | 2.4   | 2.4
33.3  | 22.2  | 4.8   | 5.0
68    | 87    | 100   | 100
59    | 67    | 52    | 70
6.5   | 0.7   | 3.7   | 3.0
1.06  | 1.03  | 1.00  | 1.01
