-     | -     | -     |
-     | -     | -     |
O2    | A1    | IIC1  | IIIC2
5-2   | 2-22  | 30-50 | 80-100
-     | 1.29  | 0.38  | -
11.50 | 0.75  | 0.22  | -
1.166 | 0.074 | -     | -
10    | 10    | -     | -
-     | 28.5  | 23.1  | 15.2
-     | 47.7  | 49.3  | 56.9
-     | 69.0  | 74.5  | 81.4
-     | 1.1   | 1.1   | 1.7
-     | 1.1   | 1.1   | 1.2
-     | 0.2   | 0.1   | 0.4
-     | 0.1   | 0.1   | 0.1
-     | -     | -     | -
-     | -     | -     | -
-     | -     | -     |
0     | 0     | 0     | 0
67.0  | 31.1  | 29.1  | 27.9
592   | 370   | 188   | 210
5.1   | 6.4   | 6.5   | 6.6
5.4   | 7.2   | 7.0   | 7.0
4.7   | 6.0   | 6.2   | 6.0
3.83  | 18.04 | 24.38 | 23.43
-     | -     | -     | -
-     | -     | -     | -
-     | -     | -     | -
-     | -     | -     | -
-     | -     | -     | -
-     | -     | -     | -
-     | -     | -     | -
-     | -     | -     | -
