-     | -     | -     | -     | -     | -      |
5.145 | 5.146 | 5.147 | 5.148 | 5.149 | 5.150  | 5.151
Ap    | B1    | B21t  | B22t  | B23t  | B3     | C
05-17 | 23-30 | 33-44 | 50-63 | 70-80 | 88-100 | 120-125
2.91  | 2.12  | 1.28  | 0.96  | 0.67  | 0.51   | 0.22
0.13  | 0.10  | 0.09  | 0.06  | 0.04  | 0.04   | 0.03
13    | 12    | 7     | 10    | 8     | 8      | 5
23.10 | 34.60 | 36.66 | 30.02 | 29.78 | 25.13  | 17.44
27.35 | 22.78 | 20.48 | 24.93 | 23.82 | 26.35  | 28.66
66.50 | 56.47 | 55.99 | 59.95 | 39.89 | 61.32  | 69.95
9.35  | 8.15  | 6.53  | 9.14  | 9.10  | 12.25  | 11.57
0.95  | 0.73  | 0.76  | 0.84  | 0.90  | 1.21   | 1.27
0.10  | 0.06  | 0.07  | 0.05  | 0.11  | 0.10   | 0.09
-     | -     | -     | -     | -     | -      |
-     | -     | -     | -     | -     | -      | -
6.4   | 6.5   | 6.5   | 6.9   | 6.9   | 6.8    | 6.8
5.3   | 5.1   | 5.2   | 5.4   | 5.4   | 5.3    | 5.5
-     | -     | -     | -     | -     | -      | -
25.9  | 29.3  | 33.5  | 30.0  | 29.2  | 26.1   | 24.8
1.16  | 1.02  | 1.19  | 1.00  | 1.37  | 1.15   | 1.21
26.77 | 31.87 | 33.69 | 29.49 | 29.32 | 26.96  | 23.43
-     | -     | -     | -     | -     | -      | -
