-     | -     | -     | -     |
-     | -     | -     | -     | -
A1    | B21   | B22   | B31ca | B32ca
5-15  | 30-47 | 54-70 | 76-92 | 115-130
4.25  | 2.16  | 1.62  | 0.81  | 0.15
2.46  | 1.25  | 0.94  | 0.47  | 0.09
0.213 | 0.110 | 0.091 | 0.057 | N.D
12    | 11    | 10    | 8     | 11
22.1  | 33.0  | 43.5  | 39.6  | 40.8
-     | -     | -     | -     | -
75.4  | 65.5  | 55.2  | 58.9  | 57.4
0.3   | 0.3   | 0.4   | 0.5   | 0.4
1.2   | 0.6   | 0.4   | 0.5   | 0.7
0.8   | 0.4   | 0.3   | 0.3   | 0.5
0.2   | 0.2   | 0.2   | 0.2   | 0.2
0.0   | 0.0   | 0.0   | 3.7   | 3.5
5.2   | 6.1   | 7.2   | 7.9   | 8.0
-     | -     | -     | -     | -
25.8  | 39.5  | 42.0  | 37.2  | 34.6
27.3  | 38.5  | 42.0  | 37.8  | 38.9
