- | -    | 2589  | 3932  | 4406  | 4507  | 4473
- | -    | -     | -     | -     | -     |
d | Ca++ | 20.12 | 32.40 | 37.79 | 38.32 | 36.40
e | -    | -     | -     | -     | -     |
- | Mg++ | 1.32  | 2.11  | 2.28  | 2.30  | 2.32
c | -    | -     | -     | -     | -     |
a | K+   | 0.57  | 1.63  | 1.70  | 1.81  | 1.90
m | -    | -     | -     | -     | -     |
b | Na+  | 0.52  | 1.57  | 2.15  | 2.23  | 2.50
i | -    | -     | -     | -     | -     |
o | H+   | -     | -     | -     | -     | -
- | -    | 2.02  | 3.99  | 4.88  | 4.95  | 5.59
