- | -    | 3209  | 3450  | 3785  | 4225 | 4220
- | -    | -     | -     | -     | -    |
d | Ca++ | 25.00 | 26.00 | 26.04 | ND   | ND
e | -    | -     | -     | -     | -    |
- | Mg++ | 1.23  | 1.40  | 1.46  | ND   | ND
c | -    | -     | -     | -     | -    |
a | K+   | 0.69  | 0.79  | 0.80  | 0.86 | 0.87
m | -    | -     | -     | -     | -    |
b | Na+  | 0.57  | 0.52  | 0.50  | 2.16 | 2.50
i | -    | -     | -     | -     | -    |
o | H+   | -     | -     | -     | -    | -
- | -    | 1.78  | 1.51  | 1.32  | 5.11 | 5.92
