-     | -     | -     | -     |
4861  | 4862  | 4863  | 4864  | 4865
Ap    | B21t  | B22t  | B3ca  | B3tca
03-11 | 20-30 | 40-50 | 75-85 | 100-110
4.81  | 2.85  | 1.05  | 0.97  | 0.30
0.208 | 0.131 | 0.055 | 0.052 | 0.017
13.5  | 12.7  | 11.1  | 11.0  | 10.0
30.25 | 38.86 | 44.18 | 44.11 | 43.18
28.17 | 25.60 | 24.06 | 23.18 | 24.00
67.92 | 55.68 | 54.12 | 54.56 | 55.57
0.24  | 0.28  | 0.52  | 0.35  | 0.32
1.57  | 1.17  | 1.16  | 0.96  | 0.91
0.02  | 0.01  | 0.02  | 0.02  | 0.02
0.00  | 0.00  | 0.00  | 0.00  | 0.00
-     | -     | -     | 4.65  | 2.71
6.6   | 6.5   | 7.0   | 7.9   | 7.8
5.9   | 5.9   | 6.0   | 6.9   | 6.8
0.224 | 0.293 | 0.290 | 0.243 | 0.241
31.12 | 38.42 | 46.28 | 46.93 | 44.10
3.95  | 3.46  | 4.47  | 5.60  | 6.35
33.43 | 40.93 | 46.59 | 43.94 | 42.19
10.35 | 8.71  | 5.46  | 4.93  | 3.71
