-     | -     | -     | -     | -      | -       |
-     | -     | -     | -     | -      | -       |
AP    | A12   | IIB21 | IIB22 | IIIB23 | IIIB31  |   IIIB32
4-10  | 18-26 | 32-38 | 45-55 | 62-94  | 100-130 |   140-160
3.48  | 0.41  | 1.05  | 0.64  | -      | -       |   -
2.02  | 0.24  | 0.61  | 0.37  | -      | -       |   -
0.228 | -     | 0.091 | 0.061 | -      | -       |   -
9     | -     | 7     | 6     | -      | -       |   -
24.9  | 28.8  | 37.3  | 52.4  | 53.1   | 39.5    |   31.5
26.7  | 25.5  | 21.6  | 17.0  | 21.0   | 28.1    |   33.3
52.0  | 51.0  | 44.5  | 37.3  | 38.9   | 51.1    |   55.6
8.0   | 8.2   | 7.3   | 3.7   | 2.5    | 3.6     |   6.8
6.9   | 4.6   | 5.4   | 1.8   | 0.9    | 1.3     |   3.5
5.4   | 4.1   | 3.3   | 2.8   | 2.3    | 2.6     |   1.7
2.3   | 2.9   | 1.7   | 1.9   | 1.3    | 1.8     |   0.8
0.5   | 0.4   | 0.5   | 0.1   | 0.3    | 0.1     |   0.1
-     | -     | -     | -     | -      | -       |   -
-     | -     | -     | -     | -      | -       |
0     | 0     | 0     | 0     | 0.7    | vest     (n) |       0
24.0  | 23.8  | 28.7  | 33.8  | 35.0   | 31.4    |   31.8
4872  | 5522  | 3248  | 2436  | 1949   | 2598    |   2517
5.6   | 5.9   | 6.5   | 6.8   | 7.4    | 7.6     |   7.5
6.5   | 6.4   | 7.0   | 7.5   | 8.1    | 8.4     |   8.1
5.2   | 5.4   | 5.7   | 6.1   | 6.8    | 6.5     |   6.2
-     | -     | -     | -     | -      | -       |   -
2.4   | 1.4   | 6.3   | 9.0   | -      | -       |   8.4
0.9   | 0.3   | 0.5   | 0.6   | 1.5    | 2.1     |   5.0
1.5   | 1.4   | 2.6   | 3.3   | 5.5    | 3.1     |   2.7
8.0   | 6.7   | 4.7   | 4.8   | -      | -       |   3.4
5     | 2     | 3     | 2     | 4      | 8       |   25
13.5  | 12.6  | 20.7  | 27.1  | -      | -       |   24.2
17.2  | 13.6  | 19.8  | 25.9  | 34.4   | 25.4    |   20.4
78    | 93    | 100   | 100   | -      | -       |   100
