-     | -     | -     | -     | -       |
938   | 939   | 940   | 941   | 942     | 943
A1    | A3    | B21t  | B22t  | B31     | B32ca
06-15 | 17-30 | 31-50 | 60-80 | 100-115 | 130-150
3.52  | 2.34  | 1.21  | 0.81  | 0.81    | 0.43
0.22  | 0.15  | 0.10  | 0.08  | 0.07    | ND
9     | 9     | 7     | 6     | 4       | ND
23.5  | 23.5  | 39.5  | 39.5  | 39.0    | 31.0
29.5  | 26.5  | 21.0  | 22.0  | 23.0    | 21.0
74.5  | 74.7  | 58.9  | 58.7  | 59.1    | 66.7
1.6   | 1.5   | 1.3   | 1.5   | 1.5     | 1.7
0.4   | 0.3   | 0.3   | 0.3   | 0.4     | 0.6
-     | -     | -     | -     | -       | -
-     | -     | -     | -     | -       |
-     | -     | -     | -     | -       |
-     | -     | -     | -     | -       | 1.9
5.5   | 5.6   | 6.2   | 6.7   | 7.2     | 7.7
5.0   | 5.0   | 5.0   | 5.4   | 6.0     | 6.4
1.836 | 3.508 | 2.088 | 2.004 | 1.944   | 1.916
22.6  | 20.5  | 32.0  | 32.5  | 32.8    | 27.8
14.1  | 14.2  | 23.8  | 24.7  | 27.7    | ND
-     | -     | -     | -     | -       |
2.2   | 1.1   | 1.7   | 1.8   | 1.4     | ND
-     | -     | -     | -     | -       |
1.0   | 0.5   | 1.0   | 1.0   | 1.1     | 1.2
-     | -     | -     | -     | -       |
0.2   | 0.3   | 0.7   | 0.9   | 1.1     | 1.1
-     | -     | -     | -     | -       |
-     | -     | -     | -     | -       | -
-     | -     | -     | -     | -       |
0.88  | 1.46  | 2.19  | 2.76  | 3.35    | 3.96
-     | -     | -     | -     | -       |
30.2  | 29.6  | 42.0  | 42.0  | 43.0    | 32.7
-     | -     | -     | -     | -       | -
