-     | -     | -     |
-     | -     | -     |
C1    | C2    | C3    | C4
1-3   | 5-8   | 10-12 | 13-16
4.48  | 2.07  | 0.95  | 0.95
2.60  | 1.20  | 0.55  | 0.55
0.252 | 0.160 | 0.040 | 0.115
10    | 8     | 8     | 5
29.8  | 26.5  | 24.2  | 23.4
33.9  | 29.8  | 24.4  | 26.7
58.9  | 58.6  | 57.6  | 62.7
7.7   | 9.1   | 9.9   | 9.5
2.9   | 5.3   | 7.9   | 3.9
0.5   | 0.3   | 0.2   | 0.1
0.2   | 0.2   | 0.2   | 0.4
-     | -     | -     | -
-     | -     | -     | -
-     | -     | -     |
0     | 0     | 0     | 0
28.5  | 23.2  | 21.9  | 23.1
2598  | 3735  | 6171  | 4995
5.1   | 4.6   | 4.7   | 4.8
5.8   | 5.4   | 5.6   | 4.9
4.6   | 3.6   | 3.6   | 3.7
-     | -     | -     | -
4.3   | 3.2   | 3.2   | 3.6
1.1   | 1.1   | 1.2   | 0.6
0.6   | 0.3   | 0.2   | 0.2
10.7  | 8.7   | 8.6   | 9.0
5     | 6     | 8     | 4
15.3  | 11.4  | 8.8   | 8.8
21.1  | 17.1  | 14.5  | 16.6
73    | 67    | 61    | 53
-     | -     | -     |
C5    | C6    | C7    | C8
18-20 | 30-60 | 65-70 | 80-110
1.14  | -     | -     | -
0.66  | -     | -     | -
0.115 | -     | -     | -
6     | -     | -     | -
23.4  | 21.6  | 11.9  | 31.4
26.7  | 13.7  | 3.8   | 31.2
60.3  | 49.3  | 19.8  | 61.1
12.3  | 17.7  | 36.4  | 5.5
3.7   | 9.3   | 27.0  | 1.5
0.2   | 2.0   | 4.8   | 0.4
0.1   | 0.1   | 0.1   | 0.1
-     | -     | -     | -
-     | -     | -     | -
-     | -     | -     |
0     | 0     | 0     | 0
22.6  | 19.5  | 8.4   | 27.1
4995  | 3330  | 66000 | 3830
4.7   | 6.2   | 6.8   | 5.9
5.0   | 6.6   | 7.0   | 6.4
3.7   | 5.1   | 5.4   | 4.9
-     | -     | -     | -
3.9   | 5.5   | 3.3   | 3.8
0.5   | 1.0   | 0.7   | 1.2
0.2   | 0.1   | 0.1   | 0.3
9.0   | 3.3   | 1.2   | 5.6
3     | 8     | 10    | 8
8.1   | 11.2  | 7.0   | 15.7
16.4  | 12.3  | 6.7   | 14.7
49    | 91    | 100   | 100
