-      | -      | -      | -      | -      |
10.317 | 10.318 | 10.319 | 10.320 | 10.321 | 10.322
Ap     | B21    | B22    | B3ca   | C1ca   | C2ca
05-15  | 25-30  | 42-50  | 53-60  | 70-77  | 90-110
4.76   | 1.92   | 0.99   | 0.92   | 0.64   | 0.57
0.27   | 0.14   | 0.08   | 0.08   | 0.05   | 0.05
10     | 8      | 7      | 7      | 7      | 7
27.92  | 33.20  | 31.54  | 31.10  | 27.27  | 26.99
24.46  | 23.93  | 25.49  | 25.51  | 25.01  | 25.14
61.94  | 59.40  | 59.45  | 58.28  | 63.72  | 63.47
4.20   | 4.76   | 3.50   | 6.91   | 6.71   | 6.05
5.91   | 2.60   | 5.47   | 3.69   | 2.28   | 3.44
0.03   | 0.04   | 0.04   | 0.02   | 0.02   | 0.05
-      | -      | -      | -      | -      |
-      | -      | -      | -      | -      |
0.0    | 0.0    | 0.0    | 0.5    | 9.4    | 9.5
6.0    | 6.2    | 6.5    | 7.3    | 7.6    | 7.6
-      | -      | -      | -      | -      | -
38.10  | 31.60  | 31.20  | N.D.   | N.D.   | N.D.
29.01  | 34.31  | 29.98  | 28.45  | 25.33  | 25.60
74.90  | 29.66  | 6.28   | 5.56   | 0.0    | 0.0
