-     | -     | -     | -     | -     |
404   | 405   | 406   | 407   | 408   | 409
A1    | B21t  | B22t  | B23ca | B3ca  | Cca      (g)
00-13 | 22-31 | 40-52 | 68-84 | 88-98 | 103-115
4.7   | 2.5   | 2.2   | 1.4   | 0.6   | 0.3
12    | 13    | 16    | 16    | 12    | 10
33.6  | 40.3  | 38.4  | 45.0  | 40.5  | 36.5
21.4  | 24.5  | 26.3  | 21.3  | 23.0  | 24.5
60.5  | 53.7  | 54.6  | 49.6  | 55.5  | 60.6
1.2   | 1.4   | 1.9   | 1.4   | 1.0   | 0.8
3.4   | 3.1   | 3.5   | 2.8   | 2.0   | 1.4
1.3   | 1.5   | 1.6   | 1.2   | 1.0   | 0.7
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 6.0   | 4.9   | 13.0  | 9.9
6.3   | 6.5   | 6.9   | 7.7   | 7.9   | 7.9
5.9   | 6.0   | 6.3   | 6.9   | 7.0   | 7.0
41.9  | 44.8  | 40.6  | 44.5  | 36.7  | 37.1
0.5   | 0.4   | 0.5   | 1.8   | 3.0   | 3.5
39.4  | 44.0  | 40.7  | 43.4  | 38.8  | 39.4
