-     | -     | -     | -      |
897   | 898   | 899   | 900    | 901
Ap    | I     | I/II  | II     | III
05-12 | 35-55 | 75-88 | 95-110 | 140-160
0,5   | 0,3   | 0,2   | 0,7    | 0,0
9     | 7     | 6     | 7      | -
1,2   | 1,1   | 4,5   | 17,2   | 7,8
-     | -     | -     | -      | -
5,7   | 6,0   | 6,1   | 5,6    | 5,8
4,5   | 4,7   | 4,6   | 4,0    | 4,1
2,1   | 2,6   | 3,5   | 18,9   | 10,2
4,8   | 3,8   | 2,9   | 0,5    | 1,0
2,9   | 4,6   | 6,4   | 22,9   | 15,7
33,0  | 48,0  | 57,0  | 52,0   | 46,0
