horizonte||ap|e|bt1|bt2|bc|c
Profundidad muestra|cm|10|21|39|69|101|130
Mat. orgánica|%|2.03|1.07|0.69|0.26|0.21|0.14
C orgánico|%|1.18|0.62|0.40|0.15|0.12|0.08
N total|%|0.121|0.074|0.066|0.043|---|---
Relación C/N|---|10|8|6|3|---|---
Arcilla < 2µ|%|24.9|20.8|35.7|29.1|21.2|14.2
Limo 2-50µ|%|61.3|63.1|50.3|52.0|53.8|55.2
Arena >50µ|%|15.0|16.1|15.0|19.6|26.0|29.6
TOTAL|%|101.2|100.0|101.0|100.7|101.0|99.0
Limo 2-20µ|%|---|---|---|---|---|---
Arena:|||||||
Muy fina 50-100µ|%|13.1|15.1|14.0|18.3|24.6|27.6
Fina 100-250µ|%|1.9|1.0|1.0|1.3|1.4|2.0
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0
Equiv.humedad|%|24.7|23.9|29.7|28.1|23.7|16.8
Resist.pasta|ohms|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---
pH pasta (1:1)|---|5.7|6.3|7.3|7.9|7.6|7.0
pH agua (1:2,5)|---|5.2|5.2|5.8|6.3|6.2|5.5
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|8.8|6.3|8.6|8.9|6.8|8.6
Mg++ intercambio|me/100g|1.5|1.2|2.5|2.8|2.4|1.8
Na+ intercambio|me/100g|0.3|0.6|2.8|2.3|2.1|0.3
K+ intercambio|me/100g|1.7|2.0|2.8|2.5|2.4|1.6
H+ intercambio|me/100g|1.9|1.6|0.0|0.0|0.0|0.6
(Na+/T)|%|2.1|5.2|16.9|14.6|15.7|2.3
C.I.C., (T)|me/100g|14.3|11.5|16.6|15.8|13.4|12.9
Suma bases (S)|me/100g|12.3|10.1|16.7|16.5|13.7|12.3
Sat.bases, (S/T)|%|86|88|101|104|102|95
