horizonte||ap|be|bt1|bt2|bcm
Profundidad muestra|cm|0 - 20|20 - 26|26 - 75|75 - 110|+ 110
Mat. orgánica|%|3.28|1.55|0.69|0.34|0.14
C orgánico|%|1.90|0.90|0.40|0.20|0.08
N total|%|---|---|---|---|---
Relación C/N|---|---|---|---|---|---
Arcilla < 2µ|%|28.1|29.9|34.5|40.0|29.7
Limo 2-50µ|%|62.9|61.6|58.2|51.4|60.2
Arena >50µ|%|9.0|8.5|7.3|8.6|10.1
TOTAL|%|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|---|---|---|---|---
Arena:||||||
Muy fina 50-100µ|%|8.3|7.7|7.0|7.8|9.2
Fina 100-250µ|%|0.7|0.8|0.3|0.8|0.9
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.00|0.00|0.00|0.00|0.00
Equiv.humedad|%|33.4|31.6|34.1|33.5|29.8
Resist.pasta|ohms|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---
pH pasta (1:1)|---|5.6|5.8|6.5|6.2|6.5
pH agua (1:2,5)|---|6.3|6.7|7.2|7.2|7.3
pH 1N ClK (1:2,5)|---|---|---|---|---|---
Ca++ intercambio|me/100g|10.4|10.5|16.5|16.3|15.6
Mg++ intercambio|me/100g|3.1|3.8|5.9|4.9|5.3
Na+ intercambio|me/100g|0.2|0.3|0.3|0.2|0.4
K+ intercambio|me/100g|2.1|2.1|3.0|2.7|3.0
H+ intercambio|me/100g|9.5|8.2|5.6|6.4|4.3
(Na+/T)|%|1.0|1.5|1.1|0.8|1.6
C.I.C., (T)|me/100g|21.0|20.2|27.0|26.4|25.3
Suma bases (S)|me/100g|15.8|16.7|25.7|24.1|24.3
Sat.bases, (S/T)|%|75|83|95|91|96
