horizonte||a1|a2|b21t|b22t|b23t|b3|c1|c2ca
Profundidad|cm|0|18|25|54|84|120|160|210
muestra|cm|18|25|54|84|120|160|210|230
Mat. orgánica|%|2.93|1.90|1.38|0.69|0.34|0.17|0.17|0.17
C orgánico|%|1.70|1.10|0.80|0.40|0.20|0.10|0.10|0.10
N total|%|0.146|0.095|0.088|0.053|0.036|0.027|0.019|0.018
Relación C/N|---|12|12|9|8|6|4|5|6
Arcilla < 2µ|%|23.9|25.1|55.0|46.6|30.6|33.1|20.3|---
Limo 2-50µ|%|66.6|65.8|39.9|48.6|60.1|59.0|66.5|---
Arena >50µ|%|9.5|9.1|5.1|4.8|9.3|6.9|13.2|13.0
TOTAL|%|100.0|100.0|100.0|100.0|100.0|99.0|100.0|---
Limo 2-20µ|%|35.1|30.7|21.9|25.1|29.2|28.6|34.2|---
Arena:|||||||||
Muy fina 50-100µ|%|6.2|4.8|3.3|3.1|6.9|4.9|8.3|7.1
Fina 100-250µ|%|2.8|3.8|1.5|1.4|2.1|1.7|4.3|4.9
Media 250-500µ|%|0.5|0.5|0.3|0.3|0.3|0.3|0.6|1.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.6
Equiv.humedad|%|---|---|---|---|---|---|---|---
Resist.pasta|ohms|---|---|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---|---|---
pH pasta (1:1)|---|6.3|6.3|6.7|6.7|7.1|7.1|7.3|8.0
pH agua (1:2,5)|---|6.5|6.5|6.8|7.0|7.3|7.3|7.5|8.2
pH 1N ClK (1:2,5)|---|5.5|5.3|5.4|5.7|5.5|5.1|5.7|7.4
Ca++ intercambio|me/100g|9.7|9.7|18.0|16.8|13.7|12.2|12.8|17.0
Mg++ intercambio|me/100g|2.1|2.1|7.5|7.1|5.5|5.3|4.6|5.2
Na+ intercambio|me/100g|0.6|0.7|1.4|1.3|1.2|1.2|1.1|1.9
K+ intercambio|me/100g|1.3|0.9|1.8|1.7|1.6|1.5|1.4|1.4
H+ intercambio|me/100g|2.0|3.0|2.1|2.1|2.1|2.1|1.0|0.0
(Na+/T)|%|3.8|4.3|4.6|4.6|5.1|5.1|5.0|7.6
C.I.C., (T)|me/100g|15.6|16.3|30.6|28.3|23.6|23.4|21.8|25.0
Suma bases (S)|me/100g|13.7|13.4|28.7|26.9|22.0|20.2|19.9|25.5
Sat.bases, (S/T)|%|88|82|94|95|93|86|91|102
