horizonte||a|e|bt1|bt2|bc
Profundidad muestra|cm|0|29|39|65|88
Mat. orgánica|%|3.91|1.53|1.19|0.53|0.28
C orgánico|%|2.27|0.89|0.69|0.31|0.16
N total|%|0.199|0.064|0.074|0.051|0.033
Relación C/N|---|11|14|9|6|5
Arcilla < 2µ|%|26.0|25.0|50.0|50.0|35.0
Limo 2-50µ|%|70.5|72.0|48.0|48.5|62.5
Arena >50µ|%|2.3|2.6|1.5|1.1|2.1
TOTAL|%|98.8|99.6|99.5|99.6|99.6
Limo 2-20µ|%|30.5|33.0|19.0|23.5|26.0
Arena:||||||
Muy fina 50-100µ|%|2.0|1.8|1.2|1.0|1.8
Fina 100-250µ|%|0.2|0.6|0.2|0.1|0.2
Media 250-500µ|%|0.1|0.2|0.1|0.0|0.1
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|---|---|---|---|---
Equiv.humedad|%|31.1|29.0|57.0|54.7|41.7
Resist.pasta|ohms|4 739|4 503|1 138|711|474
Conductividad|mmhos/cm|---|---|---|---|---
pH pasta (1:1)|---|5.8|7.2|7.0|7.3|7.4
pH agua (1:2,5)|---|6.0|6.6|7.4|7.8|8.1
pH 1N ClK (1:2,5)|---|5.1|5.5|6.1|6.2|6.6
Ca++ intercambio|me/100g|8.4|7.0|16.0|16.0|15.4
Mg++ intercambio|me/100g|0.8|0.4|3.2|3.2|3.4
Na+ intercambio|me/100g|1.0|1.1|4.4|4.7|4.0
K+ intercambio|me/100g|1.5|0.9|2.3|2.0|2.5
H+ intercambio|me/100g|---|---|---|---|---
(Na+/T)|%|6.7|8.9|15.4|16.5|15.7
C.I.C., (T)|me/100g|15.0|12.0|28.6|28.4|25.4
Suma bases (S)|me/100g|11.7|9.4|25.9|25.9|25.3
Sat.bases, (S/T)|%|78|78|91|91|100
