horizonte||e|bt1|bt2|bt3|bc
Profundidad|cm|0 - 15|15 - 35|35 - 65|65 - 80|más de 80
Mat. orgánica|%|3.79|0.93|0.88|0.48|0.36
C orgánico|%|2.2|0.54|0.51|0.28|0.21
N total|%|0.181|0.064|0.106|0.046|0.04
Relación C/N|---|12|8|5|6|5
Arcilla < 2µ|%|28.5|42|39.1|37.6|21
Limo 2-50µ|%|44|33|35.5|39.7|37.2
Arena >50µ|%|27.5|25|25.4|22.7|41.8
TOTAL|%|100|100|100|100|100
Limo 2-20µ|%|24|19.6|21.4|24.9|21.5
Arena:||||||
Muy fina 50-100µ|%|15|13.2|13.1|12.2|11
Fina 100-250µ|%|10.4|9.6|10.1|8.4|8
Media 250-500µ|%|2|1.9|2.1|1.9|1.8
Gruesa 500-1000µ|%|0.1|0.2|0.2|0.3|0.2
Muy gruesa 1-2mm|%|----|----|----|----|0.05
Calcáreo, CaCO3|%|||||
Equiv. humedad|%|||||
Resist. pasta|ohms|673|336|324|348|424
Conductividad|mmhos/cm|4.9|6.3|8.3|5.5|5.0
pH pasta (1:1)|---|6.0|7.0|7.2|6.9|7.0
pH agua (1:2,5)|---|5.9|7.7|7.0|6.9|7.0
pH 1N ClK (1:2,5)|---|5.6|6.0|6.4|5.9|5.9
Ca++ intercambio|me/100g|11.91|16.17|15.87|12.34|13.19
Mg++ intercambio|me/100g|1.19|1.85|1.53|1.17|1.55
Na+ intercambio|me/100g|0.89|1.22|1.50|1.17|1.28
K+ intercambio|me/100g|0.44|0.79|0.79|0.50|0.57
H+ intercambio|me/100g|||||
(Na+/T)|%|3.91|5.21|6.21|5.29|4.85
C.I.C., (T)|me/100g|22.77|23.40|24.15|22.13|26.38
Suma bases (S)|me/100g|17.39|21.51|21.02|16.37|17.70
Sat. bases, (S/T)|%|76|91|87|73|67
