horizonte||a|e|bt1|bt2|bc|c|ck
Profundidad muestra|cm|0-18|18-27|27-59|59-92|92-122|122-183|183-205
Mat. orgánica|%|3.15|1.93|0.95|0.38|0.10|0.14|0.14
C orgánico|%|1.83|1.12|0.55|0.22|0.06|0.08|0.08
N total|%|0.134|0.079|0.056|0.035|0.03|0.02|0.02
Relación C/N|---|14|14|10|6|2|3|4
Arcilla < 2µ|%|28.3|27.3|40.2|30.7|19.0|27.0|16.4
Limo 2-50µ|%|68.8|70.1|58.2|66.1|65.3|63.2|61.6
Arena >50µ|%|2.9|2.6|1.6|3.7|15.8|9.8|22.0
TOTAL|%|100.0|100.0|100.0|100.5|100.1|100.0|100.0
Limo 2-20µ|%|45.9|43.3|37.2|50.5|41.7|41|37.6
Arena:||||||||
Muy fina 50-100µ|%|2.2|2.0|1.2|2.5|8.3|5.2|9.1
Fina 100-250µ|%|0.6|0.5|0.4|1.2|7.2|4.5|8.3
Media 250-500µ|%|0.1|0.1|0.0|0.0|0.3|0.1|4.6
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.2|0.0|0.3|6.4
Equiv.humedad|%|---|---|---|---|---|---|---
Resist.pasta|ohms|2 050|1 950|1 432|1 350|820|785|655
Conductividad|mmhos/cm|---|---|---|---|2.1|1.9|2.4
pH pasta (1:1)|---|6.0|6.1|6.9|7.4|7.2|8.1|8.4
pH agua (1:2,5)|---|6.2|6.2|7.0|7.8|7.7|8.2|8.7
pH 1N ClK (1:2,5)|---|4.9|5.0|5.8|6.1|5.8|7.0|7.2
Ca++ intercambio|me/100g|10.4|9.2|22.7|21.2|16.7|19.0|19.0
Mg++ intercambio|me/100g|0.4|0.4|1.3|2.3|1.6|2.9|4.0
Na+ intercambio|me/100g|0.6|0.7|1.5|2.2|2.0|1.9|3.0
K+ intercambio|me/100g|1.3|1.1|2.5|2.6|2.3|2.1|2.1
H+ intercambio|me/100g|5.5|2.8|1.4|1.4|1.4|0.0|0.0
(Na+/T)|%|3.4|4.9|5.2|8.0|8.6|7.1|10.4
C.I.C., (T)|me/100g|17.8|14.3|29.0|27.6|23.3|26.8|28.8
Suma bases (S)|me/100g|12.7|11.4|28.0|28.3|22.6|25.9|28.1
Sat.bases, (S/T)|%|71|80|97|103|97|97|98
