horizonte||a|e|bt|bc|ck
Profundidad|cm|0|19|38|61|87
muestra|cm|19|38|61|87|---
Mat. orgánica|%|1.97|0.53|0.53|0.24|0.21
C orgánico|%|1.14|0.31|0.31|0.14|0.12
N total|%|0.111|0.038|0.038|0.024|0.019
Relación C/N|---|10|8|8|6|6
Arcilla < 2µ|%|7.2|3.4|14.6|7.4|6.6
Limo 2-50µ|%|37.6|33.3|32.8|31.5|30.9
Arena >50µ|%|53.8|61.5|51.0|59.8|61.9
TOTAL|%|98.6|98.2|98.4|98.7|99.4
Limo 2-20µ|%|---|---|---|---|---
Arena:||||||
Muy fina 50-100µ|%|52.6|60.5|47.0|54.2|54.0
Fina 100-250µ|%|1.2|1.0|4.0|5.6|7.9
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.3|3.1
Equiv.humedad|%|14.6|9.8|20.2|14.3|12.5
Resist.pasta|ohms|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---
pH pasta (1:1)|---|5.1|6.5|7.6|8.2|8.9
pH agua (1:2,5)|---|5.6|6.7|8.4|8.7|9.2
pH 1N ClK (1:2,5)|---|---|---|---|---|---
Ca++ intercambio|me/100g|7.1|5.3|9.5|---|---
Mg++ intercambio|me/100g|1.9|2.4|2.5|---|---
Na+ intercambio|me/100g|0.3|0.7|6.4|9.0|9.0
K+ intercambio|me/100g|1.5|1.0|2.3|2.2|1.9
H+ intercambio|me/100g|3.2|1.3|---|---|---
(Na+/T)|%|2.1|6.7|31.7|48.9|78.3
C.I.C., (T)|me/100g|14.2|10.4|20.2|18.4|11.5
Suma bases (S)|me/100g|10.8|9.4|20.7|---|---
Sat.bases, (S/T)|%|76|90|102|---|---
