horizonte||a|e|bt1|bt2|bc|c
Profundidad|cm|0|24|30|60|90|130
muestra|cm|24|30|60|90|130|160
Mat. orgánica|%|3.40|1.98|0.69|---|---|0.05
C orgánico|%|1.97|1.15|0.40|---|---|0.03
N total|%|0.235|0.138|0.059|---|---|---
Relación C/N|---|8|8|7|---|---|---
Arcilla < 2µ|%|20.1|19.7|27.8|---|---|24.1
Limo 2-50µ|%|65.6|66.0|56.4|---|---|52.1
Arena >50µ|%|14.3|14.3|14.2|---|---|23.8
TOTAL|%|100.0|100.0|98.4|---|---|100.0
Limo 2-20µ|%|---|---|---|---|---|---
Arena:|||||---|---|
Muy fina 50-100µ|%|13.3|13.2|13.4|---|---|22.6
Fina 100-250µ|%|1.0|1.1|0.8|---|---|1.2
Media 250-500µ|%|0.0|0.0|0.0|---|---|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|---|---|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|---|---|0.0
Calcáreo, CaCO3|%|0.0|0.0|1.6|---|---|vest.
Equiv.humedad|%|28.7|27.1|31.9|---|---|30.1
Resist.pasta|ohms|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---
pH pasta (1:1)|---|6.3|7.2|8.1|---|---|8.0
pH agua (1:2,5)|---|6.7|7.6|8.9|---|---|8.8
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|8.6|8.4|---|---|---|---
Mg++ intercambio|me/100g|2.8|2.2|---|---|---|---
Na+ intercambio|me/100g|1.6|2.6|11.7|---|---|7.1
K+ intercambio|me/100g|1.4|0.8|2.4|---|---|2.9
H+ intercambio|me/100g|7.9|3.6|---|---|---|---
(Na+/T)|%|8.7|17.7|53.7|---|---|33.8
C.I.C., (T)|me/100g|18.4|14.7|21.8|---|---|21.0
Suma bases (S)|me/100g|14.4|14.0|14.1|---|---|---
Sat.bases, (S/T)|%|78|95|65|---|---|---
