horizonte||ap|a|ac|c
Profundidad|cm|0|16|38|73
muestra|cm|16|38|73|140
Mat. orgánica|%|1.45|1.19|0.36|0.16
C orgánico|%|0.84|0.69|0.21|0.09
N total|%|0.082|0.064|0.034|---
Relación C/N|---|10|11|6|---
Arcilla < 2µ|%|8.5|9.5|8.8|8.0
Limo 2-50µ|%|9.3|9.5|8.0|6.4
Arena >50µ|%|82.2|81.0|83.2|85.6
TOTAL|%|100.0|100.0|100.0|100.0
Limo 2-20µ|%|---|---|---|---
Arena:|||||
Muy fina 50-100µ|%|67.7|66.4|67.6|69.4
Fina 100-250µ|%|14.5|14.6|15.6|16.2
Media 250-500µ|%|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0
Equiv.humedad|%|9.6|10.3|8.6|7.3
Resist.pasta|ohms|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---
pH pasta (1:1)|---|5.7|6.0|6.2|6.8
pH agua (1:2,5)|---|6.1|6.7|6.7|7.5
pH 1N ClK (1:2,5)|---|---|---|---|---
Ca++ intercambio|me/100g|8.4|6.4|6.4|5.3
Mg++ intercambio|me/100g|1.4|1.6|2.9|2.6
Na+ intercambio|me/100g|0.2|0.2|0.3|0.4
K+ intercambio|me/100g|1.3|1.3|0.9|1.4
H+ intercambio|me/100g|5.4|5.0|3.1|1.7
(Na+/T)|%|1.6|1.5|2.7|3.8
C.I.C., (T)|me/100g|12.9|13.1|11.0|10.5
Suma bases (S)|me/100g|11.3|9.5|10.5|9.7
Sat.bases, (S/T)|%|88|73|95|92
