horizonte||a|eb|bt1|bt2|bc|c|ck
Profundidad muestra|cm|0 - 20|20 - 29|29 - 58|58 - 90|90 - 120|120 - 150|+ 200
Mat. orgánica|%|1.88|1.24|0.64|0.21|0.07|0.09|0.05
C orgánico|%|1.09|0.72|0.37|0.12|0.04|0.05|0.03
N total|%|0.186|0.130|0.110|0.102|0.10|0.08|0.07
Relación C/N|---|6|6|3|1|0|1|0
Arcilla < 2µ|%|19.5|20.0|30.5|29.0|24.0|19.5|16.5
Limo 2-50µ|%|76.0|77.0|67.0|68.0|71.5|74.0|77.0
Arena >50µ|%|3.3|2.7|2.1|2.5|3.8|5.7|5.7
TOTAL|%|98.8|99.7|99.6|99.5|99.3|99.2|99.2
Limo 2-20µ|%|32.5|32|28|32.5|32|36|35
Arena:||||||||
Muy fina 50-100µ|%|1.9|1.6|1.6|1.5|2.3|2.1|2.6
Fina 100-250µ|%|1.3|1.1|0.5|0.9|1.4|3.4|3.1
Media 250-500µ|%|0.1|0.1|0.1|0.1|0.1|0.2|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|---|---|---|---|---|---|---
Equiv.humedad|%|---|---|---|---|---|---|---
Resist.pasta|ohms|6 660|5 411|1 540|1 790|1 665|1 540|1 332
Conductividad|mmhos/cm|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.2|6.0|6.3|6.4|6.7|6.3|6.7
pH agua (1:2,5)|---|6.1|6.1|6.8|6.9|7.3|7.9|8.1
pH 1N ClK (1:2,5)|---|4.5|4.8|5.3|5.4|6.1|7.0|7.0
Ca++ intercambio|me/100g|8.1|7.8|15.4|18.7|13.0|15.9|12.5
Mg++ intercambio|me/100g|0.8|0.8|2.0|4.6|3.2|4.2|3.1
Na+ intercambio|me/100g|1.1|1.5|2.4|2.7|2.9|2.7|3.5
K+ intercambio|me/100g|1.3|1.3|2.8|3.0|2.6|2.6|2.6
H+ intercambio|me/100g|0.0|0.0|0.0|0.0|0.0|0.0|0.0
(Na+/T)|%|6.7|10.2|9.4|9.1|13.2|10.8|16.3
C.I.C., (T)|me/100g|16.3|14.7|25.5|29.7|22.0|25.1|21.5
Suma bases (S)|me/100g|11.3|11.4|22.6|29.0|21.7|25.4|21.7
Sat.bases, (S/T)|%|69|78|89|98|99|101|101
