A     |  B21t   |  B22t
0-18  |  18-48  |  48a+
-     |  -      |
1,2   |  0,9    |
0,10  |  0,09   |
12,0  |  10,0   |
22,4  |  38,1   |  38,4
54,9  |  46,6   |  46,6
5,1   |  3,3    |  3,0
4,4   |  3,3    |  2,7
5,7   |  4,3    |  3,1
6,3   |  5,3    |  4,3
1,3   |  1,1    |  1,5
0,0   |  0,0    |  0,2
21,8  |  27,2   |  29,6
-     |  -      |
6,7   |  8,1    |  8,7
14,6  |  18,8   |  16,4
1,6   |  1,9    |  2,3
0,7   |  2,2    |  4,0
1,3   |  1,4    |  1,5
2,0   |  -      |
18,2  |  24,3   |  24,2
20,2  |  24,4   |  24,2
90,0  |  100    |  100
