Ap    |  B2t    |  B3     |  Cca
0-23  |  23-55  |  55-94  |  94a+
3,6   |  1,26   |  0,72   |   
2,0   |  0,7    |  0,4    |   
0,16  |  -      |  -      |   
12    |  -      |  -      |
23,1  |  28,1   |  25,68  |  20,33
71,7  |  69,2   |  69,59  |  75,35
2,85  |  2,95   |  2,70   |  3,70
1,60  |  1,50   |  1,70   |  2,4
0,30  |  0,30   |  0,40   |  0,75
0,50  |  0,30   |  0,40   |  0,75
0,10  |  0,10   |  0,20   |  0,20
0,0   |  0,0    |  0,0    |  4,4
-     |  -      |  -      |
6,6   |  6,9    |  7,3    |  8,2
14,0  |  17,2   |  15,5   |
1,1   |  0,9    |  1,1    |
0,4   |  0,3    |  0,3    |  0,3
1,9   |  1,3    |  0,9    |  1,1
1,0   |  0,9    |  0,3    |
-     |  -      |  -      |
18,4  |  20,6   |  18,1   |  18,1
94    |  96     |  98     |  100
