A1    |  B21t   |  B22t
0-40  |  40-60  |  60a+
2,1   |  0,5    |   
1,2   |  0,3    |   
0,12  |  0,03   |   
10,0  |  10,0   |   
12,1  |  16,4   |  16,4
25,4  |  21,4   |  22,8
4,1   |  4,1    |  4,8
6,4   |  6,7    |  9,8
11,4  |  11,7   |  14,7
27,3  |  24,5   |  21,7
11,8  |  13,2   |  10,2
0,0   |  0,0    |  0,0
14,2  |  14,6   |  13,2
-     |  -      |   
6,1   |  6,4    |  6,5
10,3  |  12,1   |  10,5
0,6   |  0,6    |  0,3
0,2   |  0,2    |  0,2
0,4   |  0,3    |  0,2
1,2   |  1,1    |  0,5
11,5  |  13,2   |  11,2
12,7  |  14,3   |  11,7
90,5  |  92,3   |  95,7
