A2    |  B2t    |  B3
0-12  |  12-34  |  34a+
2,9   |  0,2    |
1,7   |  0,1    |
0,15  |  0,01   |
11,3  |  10,0   |
18,4  |  31,5   |  31,5
58,5  |  50,9   |  50,7
11,2  |  6,6    |  7,3
6,3   |  5,1    |  5,1
1,6   |  1,3    |  1,3
1,3   |  1,1    |  1,1
0,3   |  0,7    |  0,6
0,0   |  0,0    |  0,7
26,7  |  30,9   |  33,4
-     |  -      |
8,1   |  9,2    |  9,3
10,5  |  10,0   |
1,1   |  1,0    |
4,7   |  4,4    |  12,6
3,0   |  3,1    |  2,9
-     |  -      |
19,3  |  18,5   |
19,4  |  18,6   |  18,5
100   |  100    |  100
